Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Units Net,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,newtaz,Total GSF (Commercial),MIPS,CIE,MED,PDR,RET,VISIT,Net GSF (Commercial),CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,CASENO,BPAPPLNO,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,AFFORDABLE,AFFORDABLENET
640010,1990 CALIFORNIA ST,Marina,PL Approved,5/15/08,22,11,Change of use from 11 dwelling units to group housing with 22 bedrooms per 209.2(a).,,Residential,RH-2,770,0,,,,,,,0,,,,,,,2008.0419,,4/8/08,,,RH-2,8-Apr-08,-122.427,37.789899,,
1895043,1600 GREAT HY,Outer Sunset,PL Approved,7/10/08,0,0,Demolition and construction of a new nursery school/day care center.,,Residential,RH-2,172,"2,420",,"2,420",,,,,527,527,0,0,0,0,0,2008.0461,,4/17/08,,,RH-2,17-Apr-08,-122.508733,37.756359,,
574011,1648 PACIFIC AV,Northeast,PL Approved,7/28/08,0,0,Addition and alteration of historic fire house into a retail and private club use of approx. 8681 sqft with no parking.,,Mixed Use,NCD,351,"8,681",,,,,"8,681",,506,,,,,506,,2008.0467,,4/22/08,,,POLK,22-Apr-08,-122.422421,37.795065,,
8722001,300 16TH ST,Mission Bay,PL Approved,10/2/08,0,0,"New construction of a 332,395 square foot building with laboratory and office uses on blocks 29-32",,Mixed Use,MB-RA,649,"312,932","312,932",,,,,,"312,932",,,"312,932",,,,2008.0484,,4/25/08,,MB-RA,MB-RA,25-Apr-08,-122.389264,37.766969,,
1052024,2655 BUSH ST,Western Addition,PL Approved,10/10/08,84,84,"Demolition of existing convalescent care facility and construction of 84 residential dwelling units and 4,500 sq. ft. of retail. Building would be 40' and 65' in height and would total 168,900 sq. ft. with 126 parking spaces. ",,Mixed Use,NC-3,715,"4,500",,,,,"4,500",,"-40,617",0,"-45,117",0,0,"4,500",0,2005.1106,,4/29/08,,40-X,NC-3,29-Apr-08,-122.440927,37.785933,,
3715002,115 Steuart Street,Downtown,PL Approved,2/15/09,0,0,"The proposed project would demolish the existing building and construct a new 10 story building with one floor below grade. The building would include approx. 55,000 sq. ft. of office, 800 sq. ft. of retail, and 14 parking spaces. The building would be ap",,Commercial,C-3-O,778,"64,748","57,112",,,,"7,636",,"46,748",,,"39,112",,"7,636",,2006.1294,,5/2/08,,84-X,C-3-O,2-May-08,-122.392775,37.793113,,
3794002A,750 02ND ST,East SoMa,PL Approved,9/10/09,18,18,"The proposed project would demolish the existing building and construct a new eight-story, 18-unit residential and 5,050 sq. ft. retail building. The building would include 18 parking spaces, would be approximately 93 feet in height, totaling approximatel",To erect new 7 story commercial/residential building; TO DEMOLISH 1 STORY OFFICE/RETAIL BUILDING,Mixed Use,MUO,632,"5,050",0,,,,"5,050",,"-2,710",0,0,0,0,"-2,710",0,2007.0007,200807318072,5/8/08,,105-F,MUO,8-May-08,-122.390208,37.78018,,
855011,4 OCTAVIA ST,Market Octavia,PL Approved,10/6/08,49,49,"new construction of  mixed-use building containing +/- 49 dwelling units, +/-3,500 sq. ft. of ground-floor commercial space & a parking garage containing 37 residential-serving spaces & 2 commercial-serving spaces (39 total) -- ""C' for a lot in excess of ",,Mixed Use,NCT-3,587,"3,530",,,,,"3,530",,"3,530",,,,,"3,530",,2008.0569,,5/14/08,,,HAYES NCT/NCT-3,14-May-08,-122.423383,37.772172,,
1166008,2636 MCALLISTER ST,Richmond,PL Approved,8/26/08,2,1,Off-street parking variance to legalize a second unit on the ground floor.,,Residential,RH-2,266,0,,,,,,,0,,,,,,,2008.0573,,5/14/08,,,RH-2,14-May-08,-122.455374,37.775692,,
4217006,1250 DE HARO ST,Showpl/Potrero,PL Approved,8/8/08,2,1,Parking Variance - legalize unit w/o off street parking,,Residential,RH-2,152,0,,,,,,,0,,,,,,,2008.0636,,5/29/08,,,RH-2,29-May-08,-122.400741,37.753976,,
1517030,520 28TH AV,Richmond,PL Approved,8/18/08,3,2,"Existing 2-story SFD approx. 1500 sqft with 1 off-street parking space. Proposed 4-story 40' in height 3-unit over ground floor parking with approx 6,000 sqft.",,Residential,RM-1,280,0,,,,,,,0,,,,,,,2008.0663,,6/4/08,,40-X,RM-1,4-Jun-08,-122.487732,37.779397,,
250001,1401 CALIFORNIA ST,Northeast,PL Approved,10/20/08,95,95,"Demolish Cala Foods and loading dock and construct 6-8-story, 95-unit residential mixed-use building, 31,000-sf retail, and 105 parking, 246,500-sf total. LEED Gold.",,Mixed Use,NCD,334,"31,000",,,,,"31,000",,"-19,056",0,0,0,0,"-19,056",0,2008.07,,6/13/08,,,POLK,13-Jun-08,-122.417554,37.790856,,
1742043,1266 09TH AV,Inner Sunset,PL Approved,6/12/08,6,6,"Existing 2-story, 6,000 sqft mortuary/office building with 28 space parking lot would be demolished. Proposed 3-story, 40-foot building with ground floor retail and 2-stories of residential.",,Mixed Use,NCD,224,"3,000",,,,,"3,000",,"-3,000",0,0,"-2,200",0,-800,0,2007.1397,,6/26/08,,40-X,INNER SUNSET,26-Jun-08,-122.466193,37.764735,,
2394046,2115 TARAVAL ST,Outer Sunset,PL Approved,2/24/09,2,0,"Existing 2,150 sqft, 22'-0"" two-unit residence with ground floor commercial. Proposed 5,000 sqft, 50'-0"" two-unit residence with office and commercial space.",,Mixed Use,NC-2,435,"2,000","1,000",,,,"1,000",,"1,000",,,"1,000",,0,,2008.0794,,7/2/08,,,NC-2,2-Jul-08,-122.488777,37.742335,,
5926021,167 BRUSSELS ST,"South Central, Other",PL Approved,6/9/08,1,1,"Demolish existing dwelling unit located on lots 21 & 22, then build 2 separate dwelling units, one on each lot.",ERECT A 3 STORIES SINGLE FAMILY DWELLING.,Residential,RH-1,79,0,,,,,,,0,,,,,,,2007.0574,200807176988,12/18/08,7/17/08,,RH-1,17-Jul-08,-122.406589,37.730009,,
570010,1622 BROADWAY ,Marina,PL Approved,3/12/09,34,34,CU for 34 dwelling unit building,,Mixed Use,RC-3,353,0,,,,,,,0,,,,,,,2008.0862,,7/22/08,,80-A,RM-3,22-Jul-08,-122.423903,37.795806,,
2979A021A,99 WEST PORTAL AV,Inner Sunset,PL Approved,5/14/09,0,0,Expansion of existing dental office to lower street level to provide access from West Portal Avenue.,,Mixed Use,NCD,109,"4,000","4,000",,,,,,"2,000",,,"2,000",,,,2008.1161,,10/2/08,,,WEST PORTAL,2-Oct-08,-122.466755,37.739766,,
757025,1100 GOLDEN GATE AV,Western Addition,PL Approved,12/18/08,297,98,"New construction of 5-story, 145-foot tall housing tower(s) with 98 affordable senior rental units",,Residential,RM-3,281,0,,,,,,,0,,,,,,,2008.1162,,10/3/08,,,RM-3,3-Oct-08,-122.428767,37.780045,98,98
2660015,1344 CLAYTON ST,Central,PL Approved,5/26/09,2,1,Rear yard variance,,Residential,RH-2,196,0,,,,,,,0,,,,,,,2008.1178,,10/9/08,,,RH-2,9-Oct-08,-122.446281,37.759618,,
1643051,25 BALBOA ST,Richmond,PL Approved,1/12/09,2,1,One story vertical addition over the existing two-story over garage and convert existing single-family dwelling to two family dwellings.,,Residential,RM-2,637,0,,,,,,,0,,,,,,,2008.1273,,11/5/08,,,RM-2,5-Nov-08,-122.459283,37.777335,,
4103036,605 MISSISSIPPI ST,Showpl/Potrero,PL Approved,1/23/09,2,1,Addition/alteration of existing single-family residence to 2-unit residence.,,Residential,RH-2,520,0,,,,,,,0,,,,,,,2008.1307,,11/25/08,,,RH-2,25-Nov-08,-122.394064,37.758824,,
837003,1 FRANKLIN ST,Market Octavia,PL Approved,3/16/09,35,35,"Replace surface parking with 5/8-story 35-du residential buiding with full roof deck, subsurface parking (18 autos), ~2,400-sf retail at corner.  Market-Octavia Plan Area.",,Mixed Use,NCT-3,588,"2,378",,,,,"2,378",,"2,378",,,,,"2,378",,2008.1328,,12/1/08,,,NCT-3,1-Dec-08,-122.420842,37.774342,,
343011,118 JONES ST,Downtown,PL Approved,3/20/09,1,1,New dwelling unit. 309 exemption for rear yard,,Commercial,C-3-G,305,0,,,,,,,0,,,,,,,2008.135,,12/10/08,,,C-3-G,10-Dec-08,-122.412099,37.782326,,
5918029,419 BOWDOIN ST,"South Central, Other",PL Approved,2/17/09,6,6,Demolition of existing commercial structures and construction of six residential units.,,Residential,RH-2,70,0,,,,,0,,"-4,850",,,,,"-4,850",,2008.14,,12/23/08,,,RH-2,23-Dec-08,-122.412089,37.7301,,
173001,600 BATTERY ST,Northeast,PL Filed,10/17/07,0,0,"The proposed project would consist of a three-story, approximately 41-foot vertical addition to an existing office building. As proposed the building would be six stories, 77 feet in height. The existing building is approximately 125,900 sq. ft.  With the",RENOVATION OF EXISTING BUILDING,Commercial,C-2,826,"218,300","218,300",,,,,,"92,400",,,"92,400",,,,2006.1274,9912937S,10/17/07,6/28/99,84-E,C-2,28-Jun-99,-122.400611,37.79689,,
647007,1634 PINE ST,Western Addition,PL FILED,11/5/08,250,250,"Demolition of five buildings and construction of a mixed-use project with 250 dwelling units, 298 off-street parking spaces, 12,000 GSF office use, in a building ranging from 65-134 feet in height, 14 stories tall.  ",,Mixed Use,RC-4,330,"12,000","12,000",,,,0,,448,,,"12,000",,"-11,552",,2004.0764,,9/28/07,11/27/00,130-E,NC-3,27-Nov-00,-122.422674,37.789482,,
1371032,146 12TH AV,Richmond,PL Filed,8/3/05,2,2,"demolition of one single family dwelling and one illegal unit and the construction of a two-unit building, which is three-stories over garage. ",ERECT A FOUR STORY TWO UNIT RESIDENTIAL BLDG,Residential,RH-2,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0736,200212314411,8/3/05,12/31/02,40-X,RH-2,31-Dec-02,-122.470882,37.785503,,
318020,651 GEARY ST,Downtown,PL FILED,8/15/08,40,40,"Demolition of a three-story, 19,900-sf office building and construction of a 14- story, 40-unit residential building with 5,945 sf of retail and 5,945 sf of office use.  No off-street parking is proposed.  ""V"" for off-street parking ""C"" for height over 40",,Mixed Use,RC-4,711,"5,945",0,0,0,0,"5,945",0,"-8,010",0,0,"-13,955",0,"5,945",0,2008.0981,,7/2/03,,80-130-T,RC-4,2-Jul-03,-122.413931,37.786515,,
2636025,Crestmont Drive,Inner Sunset,PL Filed,3/25/04,34,34,"The proposed project would involve the construction of 34 dwelling units and 40 off-street parking spaces in four new buildings on an undeveloped site.  The residential buildings would four stories in height, approximately 20 feet in height from grade.  T",,Residential,RH-1(D),545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.0093,,3/25/04,,40-X,RM-1,25-Mar-04,-122.45855,37.75506,,
1202002J,1282 HAYES ST,Western Addition,PL FILED,4/14/08,8,8,CONDITIONAL USE APPEAL OF HARDING THEATHER,ERECT A FOUR STORY TEN UNIT RESIDENTIAL BLDG,Mixed Use,NC-2,610,0,,,,,,,"-13,207",0,0,0,0,"-13,207",0,2008.0432,200405073324,4/14/08,5/7/04,65-A,NC-2,7-May-04,-122.437454,37.775158,,
303015,865 POST ST,Downtown,PL Filed,5/11/04,18,18,Demolition of an existing one-story garage and construction of an eight-story residential building with 18 dwelling units and five off-street parking spaces.  ,,Mixed Use,RC-4,707,0,0,0,0,0,0,0,"-4,658",0,0,0,0,"-4,658",0,2004.0442,,5/11/04,,80-T,RC-4,11-May-04,-122.415973,37.787193,,
3701020,1270 Mission Street,Downtown,PL Filed,5/12/04,36,36,"Demolition an existing coffee shop and construction of a mixed use building with 36 dwelling units, 2,392 gsf of office use, 1,866 gsf of ground floor retail use, and 29 off street parking spaces.  Proposed building would be five stories, appx. 60 feet ta",,Commercial,C-3-G,620,"4,258","2,392",0,0,0,"1,866",0,"4,258",0,0,"2,392",0,"1,866",0,2004.0391,,5/12/04,,120-X,C-3-G,12-May-04,-122.414414,37.776676,,
3549064,1450 15TH ST,Mission,PL Filed,6/10/04,10,10,Demolish existing vacant industrial structure and construct 10 new dwellings over 2 PDR/business service spaces with an 10-car garage.  MDIC / Mission Policies / ENC,,Mixed Use,UMU,590,0,0,0,0,0,0,0,"-6,088",0,0,0,"-6,088",0,0,2004.0548,,6/10/04,,50-X,UMU,10-Jun-04,-122.416684,37.766942,,
1895018,1675 48TH AV,Outer Sunset,PL Filed,8/5/04,2,1,Construct new two-unit building,,Residential,RH-2,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.0785,,8/5/04,,40-X,RH-2,5-Aug-04,-122.507884,37.755276,,
620006,1601 LARKIN ST,Northeast,PL Filed,8/25/04,28,28,Demolition of an existing church and construction of a residential building with 28 dwelling units and 39 off-street parking spaces.  CU for construction of a building over 40 feet in a 65 foot height district and Rear Yard Variance (Sec 134a) required. ,,Residential,RM-3,343,0,0,0,0,0,0,0,"-19,050","-19,050",0,0,0,0,0,2004.0557,,8/25/04,,65-A,RM-3,25-Aug-04,-122.419522,37.792672,,
3955002,1740 17th Street,Showpl/Potrero,PL Filed,8/31/04,154,154,"Demolition of existing commercial and PDR buildings and construction of a mixed-use building with 103 dwelling units, 43,124 GSF of ground floor retail/PDR use, and 228 parking spaces.  ",,Mixed Use,UMU,572,"24,208",0,0,0,0,"24,208",0,"24,208",0,0,0,0,"24,208",0,2004.0872,,8/31/04,,40-X,UMU,31-Aug-04,-122.401041,37.765014,154,154
279014,1299 BUSH ST,Downtown,PL Filed,8/31/04,26,26,"Demolition of an existing commercial building and construction of a nine-story mixed-use building with 26 dwelling units, 4,500 GSF of ground floor retail use, and 28 off-street parking spaces.  ",,Mixed Use,NCD,322,"4,500",0,0,0,0,"4,500",0,"-5,532",0,0,"-10,032",0,"4,500",0,2004.0873,,8/31/04,,80-A,POLK,31-Aug-04,-122.418466,37.78881,,
668013,1461 PINE ST,Northeast,PL Filed,9/2/04,15,15,"The proposed project involves the demolition of the existing one-story 6,000 gsf industrial building and the construction of a 5-story residential building containing 15 dwelling units, 15 off-street parking spaces, and 584 gsf of ground-floor retail spac",,Mixed Use,NCD,327,584,0,0,0,0,584,0,"-5,416",0,0,0,"-6,000",584,0,2003.1234,,9/2/04,,65-A,POLK,2-Sep-04,-122.419799,37.789585,,
4108003C,1025 TENNESSEE ST,Central Waterfront,PL Filed,9/9/04,12,12,"Demolition of an existing light-industrial building and construction of a mixed-use building with 12 dwelling units, 12 off-street parking spaces, 3,000 GSF of ground floor commercial use.  ",,Mixed Use,UMU,521,"3,000",0,0,0,0,"3,000",0,"-6,550",0,0,0,"-9,550","3,000",0,2004.0648,,9/9/04,,50-X,UMU,9-Sep-04,-122.389179,37.758901,,
3639004A,2660 HARRISON ST,Mission,PL Filed,9/16/04,62,62,"The project is the demolition of a vacant 11,423-sf industrial building constructed in 1935 and the lot subdivision and construction of two residential buildings to total 43,649-sf and 62 units, in an Eastern Neighborhoods C-M zoning district.  Twelve per",,Mixed Use,UMU,170,0,0,0,0,0,0,0,"-11,423",0,0,0,"-11,423",0,0,2004.0672,,9/16/04,,40-X,UMU,16-Sep-04,-122.412271,37.754893,,
4646020,900 INNES AVE,Other S Bayshore,PL Filed,9/17/04,128,128,"The proposed project is construction of two four-story residential buildings for 128 units and a 40-slip marina.  The project also includes:  8,613 gsf for retail, 139 subsurface parking spaces; improvements to the Bay trail and potential continuation of ",,Mixed Use,NC-2,446,"8,613",0,0,0,0,"8,613",0,"8,613",0,0,0,0,"8,613",0,2004.0933,,9/17/04,,40-X,NC-2,17-Sep-04,-122.376894,37.732734,,
3732074,251 06TH ST,East SoMa,PL Filed,9/29/04,83,83,"Demolition of an existing one-story  building and construction of of a four-story SRO residential building with 83 SRO units, 1,450 GSF of ground floor retail use, and four off-street parking spaces.  ",,Mixed Use,NCT,628,"1,450",0,0,0,0,"1,450",0,"1,450",0,0,0,0,"1,450",0,2004.0999,,9/29/04,,40-X,SoMa NCT,29-Sep-04,-122.406201,37.779193,83,83
4228015,1240 MINNESOTA ST,Central Waterfront,PL Filed,9/29/04,27,27,"Demolition of an existing light-industrial building and construction of a five-story, mixed-use building with 27 dwelling units, 20,500 GSF of PDR use, 31 off-street parking spaces.  ",,Industrial,PDR-1-G,535,"9,900",0,0,0,"9,900",0,0,"20,500",0,0,0,"20,500",0,0,2004.1,,9/29/04,,50-X,PDR-1-G,29-Sep-04,-122.390102,37.754747,,0
3794014,111 TOWNSEND ST,East SoMa,PL Filed,12/14/04,34,34,"Retain the existing facade, demolition of the existing building behind the facade, and construction of an eight-story building over basement garage with 34 dwelling units, 34 off-street parking spaces, and appx. 5,050 ground floor commercial use.",,Mixed Use,MUO,632,"5,050",0,0,0,0,"5,050",0,"-13,136",0,0,0,"-18,186","5,050",0,2004.1276,,12/14/04,,105-F,MUO,14-Dec-04,-122.390915,37.780211,,
59003,1620 MONTGOMERY ST,Northeast,PL Filed,1/27/05,95,95,Demolition of an existing office building and construction of a nine-story (plus two below-grade parking levels) residential building with 95 dwelling units and 95 off-street parking spaces.  ,,Commercial,C-2,829,0,0,0,0,0,0,0,"-39,796",0,0,"-39,796",0,0,0,2005.0093,,1/27/05,,84-E,C-2,27-Jan-05,-122.404859,37.804097,,
2392037,2337 TARAVAL ST,Outer Sunset,PL Filed,3/3/05,3,2,To construct a four-story mixed-use building at the front of a lot that is already occupied by a single-family dwelling at the rear of the lot.  Existing single-family to remain.  The new building would have two dwelling units and a two-story commercial s,,Mixed Use,NC-2,434,"1,950",0,0,0,0,"1,950",0,"1,950",0,0,0,0,"1,950",0,2005.0221,,3/3/05,,40-X,NC-2,3-Mar-05,-122.491119,37.742242,,
2463A014,2233 VICENTE ST,Outer Sunset,PL Filed,4/14/05,0,0,Expansion of existing retail contractor's supply store by enclosure of outdoor storage area.,,Mixed Use,NC-1,414,"13,469",0,0,0,0,"13,469",0,"13,469",0,0,0,0,"13,469",0,2005.0371,,4/14/05,,40-X,NC-1,14-Apr-05,-122.49082,37.738507,,
0598010A,1946 VAN NESS AV,Northeast,PL Filed,5/3/05,0,0,"Rehabilitate existing three-story building and add three additional floors for a six-story building with 36 dwelling units, 29 off-street parking spaces, and appx. 1,638 ground floor commercial use.  ",,Mixed Use,RC-4,343,"1,638",0,0,0,0,"1,638",0,"-23,712",0,0,0,"-25,350","1,638",0,2004.1344,,5/3/05,,80-D,RC-4,3-May-05,-122.422802,37.793503,,
526021,2550 VAN NESS AV,Northeast,PL Filed,5/17/05,109,109,"Demolition of an existing hotel and construction of a 65-foot mixed-use building with 109 dwelling units, appx. 98 parking spaces, and appx. 2,945 GSF of ground floor retail use.  ",,Mixed Use,RC-3,367,"2,945",0,0,0,0,"2,945",0,"-51,353",0,0,0,0,"2,945","-54,298",2005.0474,,5/17/05,,65-A,RM-3/RC-3,17-May-05,-122.423907,37.799051,,
3547032,49 JULIAN AV,Mission,PL Filed,5/26/05,8,8,"Construction of five-story eight-unit residential building of approximately 10,583-sf.  Demolition of existing 1962 light industrial warehouse, presently vacant.  No off-street parking existing and eight proposed.",,Mixed Use,UMU,236,0,0,0,0,0,0,0,"-2,914",0,0,0,"-2,914",0,0,2005.0233,,5/26/05,,50-X,UMU,26-May-05,-122.420946,37.767435,,
697037,1333 GOUGH ST,Japantown,PL Filed,7/15/05,231,231,"The project is the construction of a 30-story 231-unit residential tower in addition to the existing 14-story residential building on the block, and consolidation of all residential parking for both buildings in a new below-ground parking structure for 40",,Residential,RM-4,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0679,,7/15/05,,240-E,RM-4,15-Jul-05,-122.424912,37.785674,,
3596113,899 VALENCIA ST,Mission,PL Filed,8/11/05,18,18,"The proposed project is demolition of a 1,800-gsf gas station and construction of a 5-story 50,141-gsf mixed use residential structure with 18 dwelling units, 22 parking spaces, and two ground-floor retail units at the corner of Valencia and 20th Streets ",,Mixed Use,NCT,185,"4,705",0,0,0,0,"4,705",0,"4,705",0,0,0,0,"4,705",0,2004.0891,,8/11/05,,50-X,Valencia St NCT,11-Aug-05,-122.421167,37.758616,,
3533007,250 VALENCIA ST,Market Octavia,PL Filed,9/13/05,0,0,Re-use and seismic upgrade of Levi Strauss Building for use by San Francisco Friends School.,,Mixed Use,NCT-3,232,"158,674",0,"86,800",0,"71,874",0,0,"14,926","86,800",0,0,"-71,874",0,0,2005.0887,,9/13/05,,50-X,NCT-3,13-Sep-05,-122.422422,37.768912,,
1415016A,1752 CLEMENT ST,Richmond,PL Filed,9/29/05,3,1,Variance for rear yard setback section 134.  To allow 5 foot encroachment into required rear yard. Conditional Use Permit for residential demolition.,,Residential,RM-1,306,700,700,0,0,0,0,0,700,0,0,700,0,0,0,2005.0907,,9/29/05,,40-X,OUTER CLEMENT,29-Sep-05,-122.47796,37.782458,,
1539004,4131 GEARY BL,Richmond,PL Filed,10/11/05,0,0,"Conversion of the 116,300 gsf, 297-bed French Hospital to outpatient clinics, day-surgery Suites, clinical pharmacy and ancillary offices for Kaiser's SF Medical Center.",,Mixed Use,NC-3,287,"116,300",0,"116,300",0,0,0,0,0,0,0,0,0,0,0,2005.0958,,10/11/05,,80-E,RM-1,11-Oct-05,-122.46358,37.780862,,
6956001,4734 MISSION ST,"South Central, Other",PL Filed,10/27/05,3,3,"LEGALIZE TWO DWELLING UNITS ON GROUND FLOOR, ONE OFFICE SPACE ON GROUND FLOOR AND ONE DWELING UNIT ON SECOND FLOOR.",,Mixed Use,NC-3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.1002,,10/27/05,,65-A,NC-3,27-Oct-05,-122.436692,37.722406,,
7034040,2 HAROLD AV,"Ingleside, Other",PL Filed,11/3/05,2,1,Two lot subdivision with and slope greater than 20%. Construct one new dwelling unit on newly created lot.  ,,Residential,RH-1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.1028,,11/3/05,,40-X,RH-1,3-Nov-05,-122.452956,37.719013,,
3762106,725-765 Harrison Street,East SoMa,PL Filed,11/8/05,510,510,"Demolition of 141,600 sq. ft. of improvements on six lots and construction of 572 new residential units, 10,000 sq. ft. of retail/commercial space, and 656 parking spaces. Project would encompass six buildings, up to 85 feet in height, totaling 791,800 gr",,Industrial,SLI,640,0,0,0,0,0,0,0,"26,900",0,0,0,"-3,600","30,500",0,2005.0759,,11/8/05,,40-X,SLI,8-Nov-05,-122.3979,37.781964,,
794015,746 LAGUNA ST,Market Octavia,PL Filed,8/29/08,143,143,"Demolition of existing 2-story industrial and office bldgs. of 19,620 sf with 70 parking spaces.  Construct residential bldg. of 143 units with 21,945 sf of commercial space on the ground floor, and 165 parking spaces.  22 parking spaces will be at the gr",,Residential,RTO,268,"19,620","19,620",0,0,0,0,0,"2,325",0,0,"-19,620",0,"21,945",0,2005.1085,,11/21/05,,50-X,RTO,21-Nov-05,-122.426447,37.777818,,
3575063,3249 17TH ST,Mission,PL Filed,12/15/05,5,3,"Project would require a rezoning from RH-2 to NC-3. Proposed project construct a three-story addition to the existing one building on the project site. The new building would be four-story, 50-feet in height consisting of 1,996 sq. ft. ground floor restau",,Residential,RTO-M,205,"1,996",0,0,0,0,"1,996",0,"1,996",0,0,0,0,"1,996",0,2005.1155,,12/15/05,,50-X,RTO-Mission,15-Dec-05,-122.418102,37.763376,,
3616007,2558 MISSION ST,Mission,PL Filed,12/21/05,125,125,"The project is a PUD and new construction of up to 125 units of residential over ground floor commercial on the site of to-be-demolished Giant Value store, adjacent to the New Mission Theater, which would be renovated to include theater, restaurant, and b",,Mixed Use,NCT,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0694,,12/21/05,,50-X/65-B,Mission St NCT,21-Dec-05,-122.418986,37.75611,,
3980007,1717 17TH ST,Showpl/Potrero,PL Filed,12/22/05,41,41,"Demolition of three existing commercial buildings and construction of three mixed-use buildings with 41 residential dwelling units, 4,840 GSF of PDR use, and 57 off-street parking spaces.  ",,Mixed Use,UMU,544,"4,840",0,0,0,"4,840",0,0,"-13,369",0,0,"-18,209","4,840",0,0,2004.0946,,12/22/05,,40-X,UMU,22-Dec-05,-122.400827,37.76476,,
3776149,424 BRANNAN ST,East SoMa,PL Filed,12/22/05,55,55,"New construction of mixed-use building with 78-units, 1 & 2 bdrm & townhome units, 2,657 groundfloor commercial, & 70 garage parking spaces, and rezone to allow 65-ft height limit.  To replace surface parking lot.",,Industrial,SLI,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.1206,,12/22/05,,50-X,SLI,22-Dec-05,-122.395185,37.779613,,
3754029,40 CLEVELAND ST,East SoMa,PL Filed,12/22/05,4,4,"New four-story, four-unit building with four parking spaces.",,Mixed Use,MUG,630,0,0,0,0,0,0,0,"-1,873",0,0,0,"-1,873",0,0,2005.1202,,12/22/05,,50-X,MUG,22-Dec-05,-122.406923,37.776783,,
3639002,2652 HARRISON ST,Mission,PL Filed,1/11/06,30,30,Demolition and new construction 30-unit residential building over basement level parking,,Mixed Use,UMU,170,0,0,0,0,0,0,0,"-7,250",0,0,0,"-7,250",0,0,2006.0054,,1/11/06,,40-X,UMU,11-Jan-06,-122.41228,37.754996,,
3785003,690 05TH ST,WSoMa,PL Filed,1/24/06,0,0,"Proposed project would demolish the existing office building and its associated parking and construct a new 75 room hotel and 5,000 cafe/bar. The building would be approximately 65 feet in height , 46,000 sq. ft. and would include 27 below-grade parking s",,Mixed Use,SSO,925,"46,000",0,0,0,0,"5,000","41,000","32,500",0,0,"-13,500",0,"5,000","41,000",2006.0091,,1/24/06,,65-X,SSO,24-Jan-06,-122.397874,37.775671,,
3912001,1-25 Division Street,Showpl/Potrero,PL Filed,1/26/06,100,100,"Demolition of existing 48,720 sq. ft. retail and industrial building and construction of 100 dwelling units, 149 parking spaces, and 19,000 sq. ft. of PDR use. Building would be six-story plus basement at approximately 65 feet in height and 227,000 gross ",,Industrial,PDR-1-G,571,"19,000",0,0,0,0,"19,000",0,"-35,453",0,0,"-28,632","-15,503","8,682",0,2006.0112,,1/26/06,,50-X,PDR-1-D,26-Jan-06,-122.402127,37.769872,,
4991075,5 THOMAS MELLON CR,Executive Park,PL Filed,3/9/06,499,499,"The project is demolition of a 100,000-sf office building and construction of a 929,530-gsf residential complex of one mid-rise of two high-rise buildings, surrounded by a landscaped plaza, with two levels of underground parking extending under all three ",,Commercial,C-2,880,"55,960",0,0,0,0,"55,960",0,"-44,040",0,0,"-100,000",0,"55,960",0,2005.0287,,3/9/06,,40-X,C-2,9-Mar-06,-122.392426,37.711106,,
3725015,938 HOWARD ST,East SoMa,PL Filed,3/27/06,154,154,"Demolish the existing 25,000 sq. ft. industrial building and construct a 154-unit SRO building, with 6,044 sq. ft. of commercial space, and 27 parking spaces. The new structure would be approximately 84,665 sq. ft., 85-feet in height and eight stories ove",,Mixed Use,MUR,668,"6,044",0,0,0,0,"6,044",0,"-18,956",0,0,0,"-25,000","6,044",0,2006.0437,,3/27/06,,40-X/85-B,MUR,27-Mar-06,-122.406004,37.780854,,
4045006,2121 3rd Street,Central Waterfront,PL Filed,4/11/06,66,66,"Proposed project would demolish the existing commercial fueling facility and construct 66 dwelling units, 3,500 sq. ft. of retail, and 66 parking spaces. The new structure would be approximately 65 feet in height, six stories, and would total approximatel",,Mixed Use,UMU,558,"3,500",0,0,0,0,"3,500",0,"-5,000",0,0,0,0,"-5,000",0,2006.0477,,4/11/06,,50-X,UMU,11-Apr-06,-122.388485,37.762717,,
4355006,3240 Third Street,"BVHP Area A,B",PL Filed,4/20/06,391,391,"The proposed project would demolish the existing industrial buildings on the site, and construct 391 dwelling units and 23,831 sq. ft. of retail, in two separate buildings on the site. The project would also provide 459 parking spaces. The project would b",,Industrial,PDR-2,491,"23,831",0,0,0,0,"23,831",0,"-32,969",0,0,0,"-56,800","23,831",0,2006.0534,,4/20/06,,80-E,PDR-2,20-Apr-06,-122.387716,37.748379,,
