APN,Entitlement,BESTSTAT,BESTDATE,NAMEADDR,Alias,PLN_CASENO,BP_APPLNO,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,SECTION415,TENURE_TYPE,COST,PROPUSE,TOTAL_GSF,NET_GSF,CIE,NET_CIE,MED,NET_MED,MIPS,NET_MIPS,PDR,NET_PDR,RET,NET_RET,VISIT,NET_VISIT,FirstFiled,PLN_DESC,BP_DESC,PLANNER,SPONSOR,SP_CONTACT,SP_CONTACTPH,NEIGHBORHOOD,PLAN_AREA,PLAN_DISTRICT,HEIGHT_DISTRICT,ZONING_SIM,ZONING_DISTRICT,SUPE_DISTRICT,Location
APN 3587011,0,BP FILED,3/18/16,668 GUERRERO ST,,2016-004057PRJ,2.01603E+11,3,3,0,0,,,"$1,900,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/18/16,,"TO ERECT 4 STORIES, NO BASEMENT, 3 UNITS RESIDENTIAL BUILDING.
** MAHER: DISTURBANCE OF AT LEAST 50 CU.YD. OF SOIL; ROUTE TO DPH **",EJACKSON,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Mission,,Mission,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 8,"(37.76044785690, -122.42400374700)"
APN 1066030,1,BP FILED,3/7/13,680 SPRUCE ST,,2013,2.01303E+11,2,1,0,0,,,"$563,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/7/13,"Two-story vertical addition to a two-story, 2,809 sf single-family home to create a 5,775 sf two-family home; renovate front facade; add front decks at 3rd and 4th floors; add one ground-floor parking space.","RENOVATION OF (E) SINGLE FAM RESIDENCE TO CREATE (N) 2 FAMILY RESIDENCES VERTICAL ADDITION OF TWO ADDITIONAL STORIES 2 (N)KITCHENS, 7(N) BATHS, 9(N) BEDROOMS, (N) INT. STAIR TO EXTEND UP TO ROOF (N) EXT. DECKS AT 3RD AND 4TH FLOORS, (N) 2 CAR GARAGE AUTO",DLINDSAY,Closed,Closed,Closed,Presidio Heights,,Richmond,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 2,"(37.78230562090, -122.45297159100)"
APN 4022022,1,CONSTRUCTION,6/24/16,685 FLORIDA ST,,2012,2.01209E+11,4,4,0,0,,,"$2,196,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/20/12,"6 story, 4 dwelling units, 68 foot height","ERECT 6 STORIES, TYPE 3, 4 RESIDENTIAL APTS BUILDING.",JBANALES,Closed,Closed,Closed,Mission,Mission (EN),Mission,68-X,UMU,URBAN MIXED USE,SUPERVISORIAL DISTRICT 9,"(37.76070750570, -122.41067776600)"
APN 2936A001D,1,BP FILED,8/20/12,69 GARCIA AV,,2005,2.01208E+11,1,1,0,0,,,"$200,000.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/1/06,"To construct a new single-family dwelling on a vacant lot.  Due to slope of the lot, the new dwelling will be 4-stories over a garage in the front and 2-stories in the rear in an RH-1(D) district.","TO ERECT 4 STORIES, SINGLE FAMILY DWELLING BUILIDNG.",APERRY,Closed,Closed,Closed,West of Twin Peaks,,Inner Sunset,40-X,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",SUPERVISORIAL DISTRICT 7,"(37.74400610930, -122.45929105000)"
APN 3785003,1,PL APPROVED,6/17/09,690 05TH ST,,2006,,0,0,0,0,,,"$7,500,000.00 ",,46000,32500,0,0,0,0,0,-13500,0,0,5000,5000,41000,41000,1/24/06,"Proposed project would demolish the existing office building and its associated parking and construct a new 75 room hotel and 5,000 cafe/bar. The building would be approximately 65 feet in height , 46,000 sq. ft. and would include 27 below-grade parking",,AA CONV,Closed,Closed,Closed,South of Market,Central SoMa; Western SoMa (EN); South of Market,South of Market,85-X,WMUO,WSOMA MIXED USE-OFFICE,SUPERVISORIAL DISTRICT 6,"(37.77534800430, -122.39767569800)"
APN 0311016,1,BP ISSUED,6/29/16,690 MARKET ST,,2013,2.01412E+11,81,24,0,0,Fee Payment,Ownership,"$4,750,000.00 ",TOURIST HOTEL/MOTEL,31570,-38565,0,0,0,0,0,0,0,0,0,0,31570,-38565,12/19/14,,CONSTRUCT DEMISING WALLS FOR 5 DWELLING UNITS & INTERIOR FIT-OUT @ 2ND FLOOR. 5TH FLR: CONVERT 5 HOTEL SUITES TO 5 DWELLING UNITS & NEW FINISHES. 7TH FLR: CONVERT 4 HOTEL SUITES TO 4 DWELLING UNITS & NEW FINISHES. 9TH FLR: CONVERT  5 HOTEL SUITES TO 5 DW,KBURNS,Closed,Closed,Closed,Financial District,Downtown,Downtown,285-S,C-3-O,DOWNTOWN- OFFICE,SUPERVISORIAL DISTRICT 3,"(37.78824797770, -122.40323221400)"
APN 0843016,1,CONSTRUCTION,5/23/16,690 PAGE ST,,2012,2.01305E+11,12,12,1,1,On-site BMR Project,Ownership,"$945,000.00 ",APARTMENTS,0,-2048,0,-2048,0,0,0,0,0,0,0,0,0,0,5/21/13,"The proposal is to demolish the existing single-story, non-residential building and construct four, three-unit residential buildings. The project includes subdivision of the corner lot into four parcels.","ERECT 4-STORY, TYPE 5, 0 BASEMENT, 3 DWELLING UNITS BUILDING. 690 PAGE ST AKA  680, 682, 684  PAGE STREET.",CLAMOREN,Closed,Closed,Closed,Western Addition,,Buena Vista,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",SUPERVISORIAL DISTRICT 5,"(37.77306436070, -122.43203185400)"
APN 3996006,0,BP FILED,2/19/16,690 TENNESSEE ST,,2016-002809PRJ,2.01602E+11,2,2,0,0,,,"$785,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/16,,CHANGE OF USE FROM 2-STORY WAREHOUSE TO 3-STORY 2-UNIT RESIDENTIAL,SOUTHEAS,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Potrero Hill,Central Waterfront (EN),South of Market,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 10,"(37.76316391380, -122.39006142800)"
APN 3996007,0,BP FILED,4/18/16,694 TENNESSEE ST,,,2.01604E+11,2,1,0,0,,,"$350,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/18/16,,"RENOVATION & ADDITION OF (E) SINGLE FAM HOME TO (N) 2 UNIT DWELLING, SCOPE INCLUDE CONVERTING BASEMENT INTO (N) OCCUPIED SPACE & ADDITION OF (N) PENTHOUSE, (E) REAR DECK TO BE REMOVED FOR YARD SPACE",,,,,Potrero Hill,Central Waterfront (EN),South of Market,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 10,"(37.76309544320, -122.39005502500)"
APN 6978075,0,BP FILED,5/8/15,7 EDGAR AV,,2015-006551PRJ,2.01505E+11,1,1,0,0,,,"$280,000.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/8/15,,CONSTRUCT (N) 2-STORY SINGLE FAMILY DWELLING UNIT,FLORESVE,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Ocean View,,Ingleside,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 11,"(37.72059522890, -122.45245394200)"
APN 2845005,1,BP ISSUED,5/15/13,70 CRESTLINE DR,,2012,2.00908E+11,5,5,0,0,,,"$1,500,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/25/09,To subdivide the existing lot into two lots and construct a new four-family dwelling on the proposed vacant lot.,"TO ERECT 4 STORY TYPE 5, 4 DWELLING UNITS",TWANG,Closed,Closed,Closed,Twin Peaks,,Central,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",SUPERVISORIAL DISTRICT 8,"(37.75158027960, -122.44591005300)"
APN 1609021F,1,BP ISSUED,4/7/16,700 36TH AV,,2009,2.00809E+11,6,6,0,0,,,"$3,455,948.00 ",APARTMENTS,1,1,0,0,0,0,0,0,0,0,1,1,0,0,9/26/08,,"TO ERECT 4 STORIES, NO BASEMENT, 6 UNITS RESIDENTIAL WITH COMMERCIAL BUILDING.",ASTARR,Closed,Closed,Closed,Outer Richmond,,Richmond,40-X,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",SUPERVISORIAL DISTRICT 1,"(37.77554028710, -122.49601102900)"
APN 3794006,0,BP FILED,5/12/16,701 03RD ST,,2014-002024PRJ,2.01605E+11,0,0,0,0,,,"$22,000,000.00 ",TOURIST HOTEL/MOTEL,103051,101335,0,0,0,0,0,0,0,0,2000,284,101051,101051,11/24/14,"Demolition of an existing Limited Restaurant (McDonald's) and new construction of an eleven (11) story hotel with ground floor retail, off-street parking, loading, and bicycle parking.  Open space at the ratio of one (1) sq ft for every 250 sq ft of buil","ERECT 11-STORY, 230 ROOMS, 1 BASEMENT, WITH A ROOF TERRACE AND GROUND FLOOR RETAIL BUILDING.",RSUCRE,CUA PENDING,CUA PENDING,CUA PENDING,South of Market,East SoMa (EN),South of Market,105-F,MUO,MIXED USE-OFFICE,SUPERVISORIAL DISTRICT 6,"(37.77881739550, -122.39225610700)"
APN 5896022,1,CONSTRUCTION,12/15/15,701 SILVER AV,,,2.01312E+11,1,1,0,0,,,"$838,295.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/4/13,,ERECT 3 STORY SINGLE FAMILY DWELLING.,TCHANG,,,,Excelsior,,South Central,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 11,"(37.72909327890, -122.42165639000)"
APN 1675016,0,BP FILED,3/19/15,844 33RD AV,,,2.01503E+11,3,1,0,0,,,"$55,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/19/15,,TO COMPLY WITH NOV #201470021 - LEGALIZE IN-LAW UNIT ST GROUND FLOOR AT REAR OF GARAGE AREA per Ordinance 43-14. FIRE SPRINKLER UNDER SEPARATE PERMIT.,NKWIATKO,,,,Outer Richmond,,Richmond,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 1,"(37.77323424370, -122.49250925300)"
APN 2408001,1,BP APPROVED,12/7/15,701 TARAVAL ST,,2014,2.01406E+11,3,3,0,0,,,"$1,800,000.00 ",APARTMENTS,1536,-360,0,0,0,0,0,0,0,0,1536,-360,0,0,6/6/14,Variance request to the parking requirement of P.C. Sec. 145 for the demolition of a commercial structure with the reconstruction of a multi-use commercial/residential building with 3 res / 1 commercial.,"ERECT 4 STORY 3 UNITS CONDO, NO BASEMENT & COMMERCIAL BUILDING.",TCHANG,Closed,Closed,Closed,Parkside,,Inner Sunset,40-X,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",SUPERVISORIAL DISTRICT 7,"(37.74288900570, -122.47371311600)"
APN 3706093,1,BP ISSUED,10/27/15,706 MISSION ST,MEXICAN MUSEUM & RESIDENTIAL TOWER PROJECT,2008,2.01312E+11,185,185,0,0,On-site BMR Project,Rental,"$210,000,000.00 ",APARTMENTS,16160,-103170,0,0,0,0,0,-119330,0,0,16160,16160,0,0,9/11/08,"The proposed project would result in partial demolition and rehabilitation of the Arson Mercantile Building into a new 42-story, 500-foot high building containing 185 residences, retail, and the 36,560 sf Mexican Musuem. The proposed project would also i","(N) 46-STORY TOWER ADDITION TO THE (E) HISTORIC 10-STORY BLDG. 
(R-2,M,A-2,A-3,S-1,S-2,H-3)",SJONES,Closed,Closed,Closed,Financial District,Yerba Buena; Central SoMa; Downtown,Downtown,400-I,C-3-R,DOWNTOWN- RETAIL,SUPERVISORIAL DISTRICT 6,"(37.78620609590, -122.40253249000)"
APN 5375059,0,PL FILED,1/3/15,707 BAY SHORE BL,,2015-000063PRJ,,0,0,0,0,,,$0.00 ,,25447,0,0,0,0,0,0,0,0,-25447,25447,25447,0,0,1/3/15,Change of use from a vacant warehouse to a Formula Retail Furniture store.,,EJARDINE,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Bayview,Bayview Hunters Point; Bayshore Boulevard,South Bayshore,65-J,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",SUPERVISORIAL DISTRICT 10,"(37.73597064320, -122.40613868100)"
APN 6168012,1,BP ISSUED,12/31/09,71 BISHOP ST,,2006,2.00611E+11,2,1,0,0,,,"$590,000.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/19/06,"RESIDENTIAL DEMOLITION, and construction of single family building on each lot - two residential units total.",ERECT 3 STORIES 1 DWELLING UNIT BLDG.,BFU,Closed,Closed,Closed,Visitacion Valley,,South Central,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 10,"(37.71794478310, -122.40423573300)"
APN 2755017C,0,BP FILED,5/3/16,711 CORBETT AV,,2016-001185PRJ,2.01605E+11,3,2,0,0,,,"$921,931.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/3/16,,"THE PROJECT PROPOSES VERTICAL & HORIZONTAL ADDITIONS TO THE (E) 1 UNIT RESIDENCE, TRANSFORMING IT INTO A 3-UNIT BUILDING, ROOF DECKS TO BE PROVIDED. FIRE SPRINKLERS SYSTEM AND SEISMIC UPGRADE TO BE PROVIDED.",TRANNANC,Application Accepted,Application Accepted,Application Accepted,Twin Peaks,,Central,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",SUPERVISORIAL DISTRICT 8,"(37.75549372230, -122.44241904800)"
APN 0743203,1,BP ISSUED,5/27/16,711 VAN NESS AV,,2013,2.01604E+11,0,0,0,0,,,"$50,000.00 ",CLINICS-MEDIC/DENTAL,2513,0,0,0,2513,2513,0,-2513,0,0,0,0,0,0,3/5/13,Changing existing use under planning code section 790.108 to medical service use code section 790.114. This change is for floors 2-5.,"2nd Floor: Revision to application # 2015-0910-6568. Architectural, electrical changes incling partition details, change in wall heights, added elec. & data outlets, finish changes. Also, clarify that there is a change of use from office to clinic(ophtha",GCABRERO,Closed,Closed,Closed,Downtown/Civic Center,Van Ness Corridor,Western Addition,130-V,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",SUPERVISORIAL DISTRICT 5,"(37.78211792710, -122.42147242500)"
APN 0226026,1,BP ISSUED,5/26/16,715 COMMERCIAL ST,,2016-000875PRJ,2.01601E+11,2,1,0,0,,,"$28,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/14/16,,"LEGALIATION OF DWELLING UNIT @ BASEMENT PER ORDINANCE 43-14. NO CHANGE TO UNIT# 1.  UNIT# 2: INSTALL NON-LOAD BEARING, FIRE RATED WALL @ ENTRY. UPGRADE (E) KITCHEN LIGHTS TO HIGH EFFICENCY.
** MAHER: N/A **",CLARKECO,Closed,Closed,Closed,Chinatown,Chinatown,Northeast,50-N,CCB,CHINATOWN-COMMUNITY BUSINESS,SUPERVISORIAL DISTRICT 3,"(37.79383888110, -122.40500232900)"
APN 3729042,1,CONSTRUCTION,6/24/16,716 CLEMENTINA ST,,2015-001273PRJ,2.01405E+11,6,2,0,0,,,"$60,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/29/14,"AT GROUND FLOOR, CONVERT EXISTING STORAGE SPACE TO TWO NEW LIVING UNITS; AND INFILL SPACE AT THE REAR UNDER (E) LIVING SPACE ABOVE","AT GROUND FLOOR, CONVERT EXISTING STORAGE SPACE TO ONE NEW LIVING UNIT; AND INFILL SPACE AT THE REAR UNDER (E) LIVING SPACE ABOVE.--MAHER--COMPLIANCE WITH ORDINANCE NO.155-13. NOT REQUIRED.",JBANALES,Closed,Closed,Closed,South of Market,Western SoMa (EN); South of Market,South of Market,45-X,RED-MX,RESIDENTIAL ENCLAVE-MIXED,SUPERVISORIAL DISTRICT 6,"(37.77523362290, -122.41112798900)"
APN 1659041,0,BP FILED,11/4/14,718 17TH AV,,,2.01411E+11,2,1,0,0,,,"$30,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/4/14,,LEGALIZE ILLEGAL ROOMS ON FIRST FLOOR & CONVERT TO LEGAL IN-LAW DWELLING UNIT UNDER ORDINANCE NO.43-14.,KCONNER,,,,Inner Richmond,,Richmond,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 1,"(37.77442457880, -122.47539856000)"
APN 0717003,0,PL FILED,12/7/15,719 LARKIN ST,,2015-005329PRJ,,40,40,5,5,,,$0.00 ,,1400,-4600,0,0,0,0,0,0,0,0,1400,-4600,0,0,7/31/15,"Demolish existing one-story over basement commercial building and construct a new mixed use 8-story building consisting of a basement level storage and residential parking garage, 1,400 SF ground floor retail, and 42 residential units.",,VBYRD,CUA ON HOLD,CUA ON HOLD,CUA ON HOLD,Downtown/Civic Center,,Downtown,80-T,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",SUPERVISORIAL DISTRICT 6,"(37.78454646320, -122.41807273900)"
APN 2691019,1,CONSTRUCTION,5/16/16,72 CASELLI AV,,,2.01407E+11,3,1,0,0,,,"$140,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/14/14,,CONVERT ILLEGAL DWELLING UNIT TO LEGAL UNIT PER ORDINANCE NO. 43-14.  COMPLY WITH N.O.V#200925662.,KCONNER,,,,Castro/Upper Market,,Central,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 8,"(37.75993674570, -122.44097755100)"
APN 0327011,1,PL APPROVED,3/25/10,72 ELLIS ST,,2009,2.01508E+11,0,0,0,0,,,"$30,000,000.00 ",TOURIST HOTEL/MOTEL,79054,79054,0,0,0,0,0,0,0,0,2500,2500,76554,76554,12/2/09,"Extension of entitlements (Case Nos. 200.383CX and 2004.1047CX) for demolition of an existing surface parking lot and construction of an 11-story, 156 room hotel with ground floor retail.","TO ERECT 11 STORIES, 1 BASEMENT, 156 UNITS HOTEL ROOM & RETAIL BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **",BHELBER,Closed,Closed,Closed,Downtown/Civic Center,Downtown,Downtown,80-130-F,C-3-R,DOWNTOWN- RETAIL,SUPERVISORIAL DISTRICT 3,"(37.78579904280, -122.40744227300)"
APN 1612003,0,BP FILED,2/1/16,721 32ND AV,,2016-001735PRJ,2.01602E+11,3,1,0,0,,,"$15,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/1/16,,LEGALIZATION OF GROUND LEVEL UNIT UNDER ORD 43-14.,CLARKECO,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Outer Richmond,,Richmond,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 1,"(37.77545661960, -122.49225352900)"
APN 6442008,0,PL FILED,6/9/16,722 PRAGUE ST,,2016-007554PRJ,,2,1,0,0,,,$0.00 ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/9/16,Change of use of existing garage to a residential dwelling unit (studio).,,DWASHING,Open,Open,Open,Crocker Amazon,,South Central,40-X,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",SUPERVISORIAL DISTRICT 11,"(37.71154887940, -122.43312746900)"
APN 3762106,0,PL FILED,5/16/06,725 - 765 HARRISON ST,,2005,,510,510,0,0,,,"$45,874,000.00 ",,730940,624340,0,0,0,0,730940,725440,0,-73600,0,-27500,0,0,8/12/05,"Demolition of 141,600 sq. ft. of improvements on six lots and construction of 572 new residential units, 10,000 sq. ft. of retail/commercial space, and 656 parking spaces. Project would encompass six buildings, up to 85 feet in height, totaling 791,800 g",,AA CONV,Pending,Pending,Pending,South of Market,Central SoMa; East SoMa (EN); South of Market,South of Market,55-X,SLI,SOMA SERVICE- LIGHT INDUSTRIAL,SUPERVISORIAL DISTRICT 6,"(37.78180684340, -122.39752838700)"
APN 1055013,0,BP FILED,11/12/14,726 PRESIDIO AV,,,2.01411E+11,7,7,0,0,,,"$900,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/12/14,,"TO ERECT 4 STORIES, 1 BASEMENT, 7 UNITS MULTI-FAMILY RESIDENT.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **
",AKIRBY,,,,Western Addition,,Richmond,40-X,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",SUPERVISORIAL DISTRICT 2,"(37.78499239770, -122.44593018600)"
APN 3728032,0,BP FILED,2/3/16,727 - 731 NATOMA ST,,2014,2.01602E+11,10,6,0,0,,,"$1,000,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/1/14,"The proposed project would result in six new residential units; three one-bedroom units in the basement, two one-bedroom units on the third floor, and one three-bedroom unit on the fourth floor. The existing two two-bedroom units on the ground floor woul","REHABILIATION, REMODEL, UPDATE & ADDITION OF (E) 4 UNIT APARTMENT BUILDING. ADD (6)(N) UNITS. ADD (2) FLOORS ABOVE. EXPAND (E) BASEMENT BELOW. REHAB (E) FACADE.",DVU,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,South of Market,Western SoMa (EN); South of Market,Downtown,45-X,RED-MX,RESIDENTIAL ENCLAVE-MIXED,SUPERVISORIAL DISTRICT 6,"(37.77615538040, -122.41252445500)"
APN 7013001D,0,BP FILED,4/8/16,727 GRAFTON AV,,2016-004980PRJ,2.01604E+11,2,1,0,0,,,"$2,600.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/8/16,,LEGALIZE ROOMS AT LOWER FLOOR PER PLAN PER ORD 43-14.,CLARKECO,Under Review,Under Review,Under Review,Ocean View,,Ingleside,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",SUPERVISORIAL DISTRICT 11,"(37.71985270700, -122.46072771900)"
APN 1252037,0,BP FILED,5/12/16,728 COLE ST,,2016-006856PRJ,2.01605E+11,5,0,0,0,,,$1.00 ,SCHOOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/12/16,,ADMINISTRATIVE CHANGE OF USE PERMIT FOR PLANING TO DOCUMENT GARAGE USE CHANGING FROM ACCESSORY PARKING TO PUBLIC FACILITY USE FOR COMMONITY EDUCATION. NO CONSTRUCTION UNDER THIS PERMIT.,SAMONSKY,Under Review,Under Review,Under Review,Haight Ashbury,,Buena Vista,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 5,"(37.76774424850, -122.45001111400)"
APN 3778046B,0,BP FILED,7/16/15,735 BRYANT ST,,,2.01507E+11,0,0,0,0,,,"$200,000.00 ",WORKSHOP COMMERCIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/16/15,,CONSTRUCT A NEW 3RD FLOOR FOR ARTIST WORKSHOP. 2 NEW BATHROOMS. N/A MAHER ORD.,KDURANDE,,,,South of Market,Central SoMa; Western SoMa (EN); South of Market,South of Market,40/55-X,SALI,SERVICE/ARTS/LIGHT INDUSTRIAL,SUPERVISORIAL DISTRICT 6,"(37.77694587860, -122.40084837400)"
APN 1253009,1,BP ISSUED,9/1/15,735 CLAYTON ST,,2014,2.01308E+11,3,1,0,0,,,"$250,000.00 ",APARTMENTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8/22/13,,CONVERT UNCONDITIONED STORAGE SPACE PREVIOUSLY USED AS A SOCIAL ROOM/STORAGE ON TOP FLOOR (FOURTH) TO ACCOMODATE ONE NEW DWELLING UNIT. ALL WORK TO BE PERFORMED WITHIN EXISTING BOUNDARY OF THE BUILDING.,SYOUNG,Closed,Closed,Closed,Haight Ashbury,,Buena Vista,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",SUPERVISORIAL DISTRICT 5,"(37.76813562460, -122.44857802900)"
APN 1068004,1,CONSTRUCTION,7/8/15,74 BLAKE ST,,,2.01401E+11,1,1,0,0,,,"$271,000.00 ",1 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/31/14,,"TO ERECT 2 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.",SVELLVE,,,,Presidio Heights,,Richmond,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 2,"(37.78256720350, -122.45092352400)"
APN 0194009,0,PL FILED,9/26/14,740 WASHINGTON ST,,2014,,24,23,18,18,,,"$3,000,000.00 ",,1700,-8295,0,0,0,0,0,0,0,0,1700,-8295,0,0,5/20/14,"Change of use from 3,317.5 sf residential use over 9,994.5 sf ground floor commercial to 24 units (11,612 sf) of group housing over 1,700 sf of ground floor restuarant use.",,AA CONV,NEED CU AND VAR,NEED CU AND VAR,NEED CU AND VAR,Chinatown,Chinatown,Northeast,50-N,CVR,CHINATOWN- VISITOR RETAIL,SUPERVISORIAL DISTRICT 3,"(37.79542614590, -122.40587453900)"
APN 1596009,0,BP FILED,4/19/16,747 48TH AV,,2016-005875PRJ,2.01604E+11,2,1,0,0,,,"$200,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/19/16,,"HORIZONTAL & VERTICAL ADDITION. ADD ONE RESIDENTIAL UNIT WITH 4 BEDROOMS , 3 BATHROOMS  & 1 KITCHEN.",SVELLVE,Under Review,Under Review,Under Review,Outer Richmond,Western Shoreline,Richmond,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 1,"(37.77426068670, -122.50935436800)"
APN 4098027,0,BP FILED,12/15/06,749 WISCONSIN ST,,2006,2.00612E+11,2,1,0,0,,,"$700,000.00 ",2 FAMILY DWELLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/14/06,The proposal is to demolish a single-family house and constructing a two-unit structure.,ERECT 4 STORIES OF 2 DWELLING UNITS.,EJACKSON,UNDER REVIEW,UNDER REVIEW,UNDER REVIEW,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",SUPERVISORIAL DISTRICT 10,"(37.75799065860, -122.39869230300)"
APN 3952001B,0,PL FILED,1/13/16,75 ARKANSAS ST,,2015-009928PRJ,2.01606E+11,30,30,0,0,,,"$13,800,000.00 ",APARTMENTS,7584,-11666,0,0,0,0,0,0,0,-19250,7584,7584,0,0,9/15/15,"Demolition of existing 1-story warehouse building.  Proposed new construction of a 4 story mixed-use building, with 8,150 sf of  ground floor retail and multipurpose space with 56,700 sf of residential over 3 floors of student housing consisting of 30 un","TO ERECT 4 STORIES, 30 UNIT STUDENT HOUSING WITH MIXED USE BUILDING.
** MAHER: N/A **",EJARDINE,ENX ON HOLD,ENX ON HOLD,ENX ON HOLD,Potrero Hill,Showplace Square/Potrero Hill (EN),South of Market,48-X,UMU,URBAN MIXED USE,SUPERVISORIAL DISTRICT 10,"(37.76539471140, -122.39840956600)"
