Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,Expr1022,Expr1023,FirstFiled,Longitude,Latitude,ObjectID,Expr1028,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,TempSelect,SiteArea,BLOCK,LOT,PARKING,PARKINGNET,ZONING,HEIGHTLIMIT,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
3185023,173 Marston St (aka 324 Havelock St,"Ingleside, Other",PL Approved,19-Aug-10,1,New construction on a vacant lot to create a new 3-story single-family residential building.,,Residential Zoning Districts,RH-1,65,0,,,,,,,2010.0698,,17-Aug-10,,40-X,RH-1,17-Aug-10,-122.447303,37.726904,4278,,Resident,-1,PL Approved,3,1,0,,,,,,,,0,3185,23,,,RH-1,40-X,7,Baukunst,Mark Bucciarelli,650-455-1207,Mark Bucciarelli 650-455-1207,Daly City CA  94015,58 Fairlawn Avenue
4287018,1263 Connecticut St,Other S Bayshore,CONSTRUCTION,13-Sep-11,0,"Construction of 27,880 sqft of warehouse uses on a vacant property.",new construction of a two story commercial building.,Industrial,PDR-2,483,27880,,,,27880,,,2010.004,200908074397,21-Jan-10,7-Aug-09,65-J,PDR-2,7-Aug-09,-122.396301,37.7502547,3250,,PDR,-1,Construction,13,0,27880,,,,27880,,,,13750,4287,18,,,PDR-2,65-J,10,,Dennis Yeung,415-859-5665,Dennis Yeung 415-859-5665,"San Francisco, CA 94124",1485 Bay Shore Blvd. #128
5339007,5075 3rd St,"BVHP Area A,B",BP ISSUED,28-Feb-11,0,"Demo and construction of a new Bayview Branch Library
R-Case: The project proposes to remove existing Bayview Anna E Waden Branch Library and the neighborhing storefront.  The new library will be an approximately 9,000 square feet one-story building with ",New construction of a  one story public library.,Other,P,406,9000,,9000,,,,,2009.0304,200909116627,8-Oct-09,11-Sep-09,40-X,P,11-Sep-09,-122.391583,37.73255,3251,,CIE,-1,BP Approved/Issued/Re-Instated,11,,9000,9000,,,,,,,10665,5339,7,,,P,40-X,10,Branch Library Improvement Program,Mindy Linetsky,557-4427,Mindy Linetsky 557-4427,"San Francisco, CA 94103-2603",190 Ninth Street
5618011,128 Elsie St,Bernal Heights,BP APPROVED,3-Mar-11,1,New single-family residence on a vacant downsloping lot.,"construction of a new single family dwelling, 4-stories.",Residential Zoning Districts,RH-1,116,0,,,,,,,2009.0725,200909237457,22-Oct-09,23-Sep-09,40-X,RH-1,23-Sep-09,-122.4179127,37.7425608,3252,,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,,1750,5618,11,,,RH-1,40-X,9,,Michael Schulte,415.710.5805,Michael Schulte 415.710.5805,"San Francisco, CA 94110",6 Elsie Street
5858024,194 Sweeny St,"South Central, Other",BP Filed,3-Aug-09,1,CU for creation of sub std lot and open space Variance.,"New construction  of a three-story, single family house,",Residential Zoning Districts,RH-1,92,0,,,,,,,2009.1082,200908033985,21-Jan-10,3-Aug-09,40-X,RH-1,3-Aug-09,-122.409353,37.7327269,3253,,Resident,0,BP Filed,6,1,0,,,,,,,,3792,5858,24,,,RH-1,40-X,9,,Angelina Chuong,415.722.9611,Angelina Chuong 415.722.9611,"South San Francisco, CA 94080",2401 Erin Place
6048002,2724 San Bruno Av,"South Central, Other",BP Filed,6-Apr-10,3,Addition of a third dwelling unit to an existing two-family dwelling with commercial on the ground floor.,To comply with complaint# 200671317 dated 07/12/2006. Third story vertical addition for new unit (3r,Neighborhood Commercial Zoning Districts,NC-2,57,2738,,,,,2738,,2009.0754,201004069730,13-Aug-09,6-Apr-10,40-X,NC-2,13-Aug-09,-122.403751,37.7271829,3254,,Mixres,0,BP Filed,2,1,0,,,,,0,,,3091,6048,2,,,NC-2,40-X,10,,Tony Cheung,415-933-6699,Tony Cheung 415-933-6699,"San Francisco, CA 94121",585 27th Avenue
6173005,1123 Girard St,"South Central, Other",BP APPROVED,1-Apr-10,1,,"ERECT A 3 STORIES, SINGLE FAMILY DWELLING.",Residential Zoning Districts,RM-1,27,0,,,,,,,,200907072084,,7-Jul-09,40-X,RM-1,7-Jul-09,-122.4009486,37.7186508,3255,,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,,3154,6173,5,,,RM-1,40-X,10,,,,,,
6501010,60 Fountain St,Central,BP Filed,16-Jun-09,2,Rear yard variance for the construction of a  new single-family building at rear of site. ,"NEW HOUSE @ LOCATION OF EXISTING HOUSE, HOUSE IS 2001 SQ FT. AT REAR, NO WORK TO FRONT UNIT, REBUILD",Residential Zoning Districts,RH-2,477,0,,,,,,,2009.0446,200906160568,28-May-09,16-Jun-09,40-X,RH-2,28-May-09,-122.441906,37.749908,3256,,Resident,0,BP Filed,6,1,0,,,,,,,,3556,6501,10,,,RH-2,40-X,8,Alan Martinez Architect Inc.,Alan Martinez,415.626.9379,Alan Martinez 415.626.9379,"San Francisco, CA  94103",149 - 9th Street
6727038,533 Laidley St,Central,BP ISSUED,19-Aug-11,1,,"ERECT 1 DWELLING UNIT, 2 STORIES BLDG.",Residential Zoning Districts,RH-1,403,0,,,,,,,,201007015796,,1-Jul-10,40-X,RH-1,1-Jul-10,-122.431232,37.735539,3264,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,2478,6727,38,,,RH-1,40-X,8,,,,,,
2717014,3412 Market St,Central,BP REINSTATED,20-Jan-11,1,,"TO ERECT 3 STORIES, SINGLE FAMILY DWELLING UNIT.",Residential Zoning Districts,RH-2,177,0,,,,,,,,201011305806,,30-Nov-10,40-X,RH-2,30-Nov-10,-122.442999,37.757076,4296,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0,,,,,,,,0,2717,14,,,RH-2,40-X,8,,,,,,
1435017,3932 Geary Bl,Richmond,BP Filed,8-Jul-11,4,,EXISTING TWO OFFICE UNITS ON 3RD FL TO BE CONVERTED BACK TO RESIDENTIAL USE. NEW STUD WALLS AS SHOWN,Neighborhood Commercial Zoning Districts,NC-3,309,0,,,,,,,,201107089769,,8-Jul-11,40-X,NC-3,8-Jul-11,-122.461678,37.781447,4376,,Resident,0,BP Filed,6,2,0,,,,,,,,0,1435,17,,,NC-3,40-X,,,,,,,
1453013,363 21st Av,Richmond,BP Filed,26-Sep-11,2,,REMODEL EXISTING 3-STORY SINGLE FAMILY HOUSE & HORIZONAL EXT 3-STORY TO THE REAR PLUS A 4TH FLOOR PE,Residential Zoning Districts,RM-1,677,0,,,,,,,,201109265437,,26-Sep-11,40-X,RM-1,26-Sep-11,-122.480834,37.781028,4377,,Resident,0,BP Filed,6,1,0,,,,,,,,0,1453,13,,,RM-1,40-X,,,,,,,
1933041,1622 11th Av,Inner Sunset,BP Filed,16-Sep-11,2,,CONVERSION OF A SFD TO ADUPLEX. ELECTRICAL & PLUMBING UNDER SEPARATE PERMITS.,Residential Zoning Districts,RH-2,530,0,,,,,,,,201109164830,,16-Sep-11,40-X,RH-2,16-Sep-11,-122.467701,37.757884,4378,,Resident,0,BP Filed,6,1,0,,,,,,,,0,1933,41,,,RH-2,40-X,,,,,,,
2700056,55 Caselli Av,Central,BP Filed,21-Sep-11,2,,ADD NEW DWELLING UNIT. NEW GARAGE @ STREET LEVEL. NEW DORMER & MASTER BEDROOM & BATH. INTERIOR REMOD,Residential Zoning Districts,RH-2,199,0,,,,,,,,201109215168,,21-Sep-11,40-X,RH-2,21-Sep-11,-122.4403136,37.7597273,4379,,Resident,0,BP Filed,6,1,0,,,,,,,,0,2700,56,,,RH-2,40-X,,,,,,,
2805036,4267 23rd St,Central,BP Filed,11-Jul-11,2,,"VERTICAL & HORIZONTAL EXTENSION OF A TWO SROTY SINGLE FAMILY BUILDING TO BECOME THREE STORY, TWO UNI",Residential Zoning Districts,RH-2,142,0,,,,,,,,201107119929,,11-Jul-11,40-X,RH-2,11-Jul-11,-122.437938,37.752425,4380,,Resident,0,BP Filed,6,1,0,,,,,,,,0,2805,36,,,RH-2,40-X,,,,,,,
3568011,580 Valencia St,Mission,PL Approved,14-Jul-11,1,Build a full service restaurant on the entire lot and add a new residential level above the restaurant.  Vertical addition of one story on the existing one story building.  Modification of front and rear facade.  Rear yard variance required for staircase.,,Neighborhood Commercial Zoning Districts,Valencia Street,221,11256,,,,,11256,,2010.107,,16-Dec-10,,55-X,Valencia St NCT,16-Dec-10,-122.4217828,37.7636284,4297,,Mixres,-1,PL Approved,5,1,209,,,,,209,,,0,3568,11,,,Valencia St NCT,55-X,6,Lundberg Design,Jennifer Brodie,415-695-0110,Jennifer Brodie 415-695-0110,"San Francisco, CA 94107",2620 - 3rd Street
3702052,1190 Mission St,Downtown,BP ISSUED,30-Jun-11,418,,ERECT 22 STORIES OF 418 DWELLING UNIT WITH COMMERCIAL,Downtown Commercial Districts,C-3-G,621,0,,,,,,,,201012166843,,16-Dec-10,150-S,C-3-G,16-Dec-10,-122.4129846,37.7776201,4298,72,Resident,-1,BP Approved/Issued/Re-Instated,11,418,0,,,,,,,72,0,3702,52,,,C-3-G,150-S,6,,,,,,
3532091,245 Valencia St,Market Octavia,PL Approved,22-Sep-11,0,The project proposes to construct a new Church at the subject site including a below grade off-street parking structure.,,Neighborhood Commercial Zoning Districts,NCT-3,236,50431,0,50431,0,0,0,0,2010.0681,,12-Aug-10,,50-X,NCT-3,12-Aug-10,-122.421806,37.768777,4279,,CIE,-1,PL Approved,5,0,13256,13256,0,0,0,0,0,,0,3532,91,,,NCT-3,50-X,6,Goldman Architects,John Goldman,415-391-1339,John Goldman 415-391-1339,"San Francisco, CA  94103",172 Russ Street
3703012,527 Stevenson St,Downtown,PL Filed,13-May-11,67,"adaptive reuse of industrial building to residential with 67 DU, 210 sf of ground floor commercial and 9 parking spaces. Requires exceptions for DU Exposure and Loading and a Variance for rear yard",,Downtown Commercial Districts,C-3-G,666,210,,,,0,210,,2010.0948,,13-May-11,,120-F,C-3-G,13-May-11,-122.410194,37.781167,4299,72,Mixres,0,Planning Filed,2,67,-44390,,,,-44600,210,,72,0,3703,12,,,C-3-G,120-F,6,Reuben & Junius ,David Silverman,415 567 9000,David Silverman 415 567 9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
1270053,179 Delmar St,Buena Vista,BP ISSUED,30-Aug-10,2,,HORIZONTAL & VERTICAL EXTENSION TO CONVERT A SINGLE FAMILY INTO 2 FAMILY DWELLINGS. RAISE BLDG 2' TO,Residential Zoning Districts,RH-2,229,0,,,,,,,,201003057685,,5-Mar-10,40-X,RH-2,5-Mar-10,-122.4452469,37.7658005,4198,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,0,1270,53,,,RH-2,40-X,8,,,,,,
1412019,2034 Clement St,Richmond,BP APPROVED,26-Sep-11,3,"Demo building at rear of property and construct a horizontal and vertical addition to the front building with a garage at the 1st floor and 3-unit residential building at the 2nd, 3rd and 4th floors.","ERECT 4 STORIES, 3 UNITS, TYPE 5 BUILDING.",Neighborhood Commercial Zoning Districts,OUTER CLEMENT,315,0,0,,,,,,2010.0603,201010253666,20-Jul-10,25-Oct-10,40-X,OUTER CLEMENT,20-Jul-10,-122.481282,37.782524,4199,,Resident,-1,BP Approved/Issued/Re-Instated,9,3,-1730,,,0,,-1730,,,0,1412,19,,,OUTER CLEMENT,40-X,1,,Jeanne Liem,,Jeanne Liem ,,
798010,940 Grove St,Western Addition,BP Filed,14-Sep-11,3,"Demolish existing school use building, remodel the existing historic portion of the building and create four subdivided lots with three new single-family dwellings.",Multiple Permits,Residential Zoning Districts,RH-3,265,0,,0,,,,,2010.0009,201109144613,11-Jan-10,14-Sep-11,40-X,RH-3,11-Jan-10,-122.432756,37.77688,4210,,Resident,0,BP Filed,2,3,-10000,-10000,,,,,,,17188,798,10,,,RH-3,40-X,5,"Jeffer, Mangels, Butler & Marmaro",David Cincotta,415-398-8080,David Cincotta 415-398-8080,"San Francisco, CA 94111","Two Embarcadero Center, 5th Floor"
1219008,1122 Page St,Buena Vista,PL Approved,30-Jun-10,4,ADD 1 ADDITIONAL UNIT.  4 UNITS TOTAL.  ,,Residential Zoning Districts,RM-2,245,0,,,,,,,2010.0114,,23-Feb-10,,40-X,RM-2,23-Feb-10,-122.439365,37.772165,4211,,Resident,-1,PL Approved,5,1,0,,,,,,,,0,1219,8,,,RM-2,40-X,5,,Troy Kashanipour,415.431.0869,Troy Kashanipour 415.431.0869,"San Francisco, CA 94107","2325 3rd Street, Suite 413"
2205035,2192 Funston Av,Inner Sunset,BP ISSUED,1-Dec-10,1,"Vacant lot. New construction of a single-family 3,401 sqft, 40-foot high residential building.",CONSTRUCT 4 STORIES OVER BASEMENT SINGLE FAMILY DWELLING WITH TWO CAR PARKING.,Residential Zoning Districts,RH-1,480,0,,,,,,,2010.0384,201002267262,20-May-10,26-Feb-10,40-X,RH-1,26-Feb-10,-122.4694256,37.7472666,4212,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,0,2205,35,,,RH-1,40-X,7,,Troy Kashanipour,415.431.0869,Troy Kashanipour 415.431.0869,"San Francisco, CA 94107","2325 3rd Street, Suite 413"
3611062,658-666 Shotwell St,Mission,PL Filed,18-Feb-10,1,Expand residential care facility from 29 to 30 rooms w/in existing building.  Construct new single-family residence.,,Residential Zoning Districts,RH-3,188,2757,,2757,,,,,2010.0101,,18-Feb-10,,40-X,RH-3,18-Feb-10,-122.416001,37.757828,4213,,Mixres,0,Planning Filed,2,1,2757,2757,,,,,,,0,3611,62,,,RH-3,40-X,9,Morning Star Residence,Larry Mateo,415-279-1366,Larry Mateo 415-279-1366,"San Francisco, CA 94127",91 Lakewood Street
3729072,718 Tehama St,WSoMa,PL Filed,25-Mar-10,1,The project proposes to convert the existing two-story industrial building into a single family residence.,,Mixed Use Districts,SLR,596,0,,,,,,,2010.0212,,25-Mar-10,,50-X,SLR,25-Mar-10,-122.411787,37.77544,4214,72,Resident,0,Planning Filed,2,1,-2700,,,,-2700,,,72,0,3729,72,,,SLR,50-X,6,,Bill Walters,412-2219,Bill Walters 412-2219,"Sausalito , CA  94965",62 Glen Drive
4045002,740 Illinois St And 2121 Third St,Central Waterfront,PL Filed,12-Feb-10,70,"Proposed project would demolish the existing commercial fueling facility and construct 70 dwelling units and 52 parking spaces. The new structure would be approximately 66 feet in height, six stories, and would total approximately 62,516 sq. ft. ",,Mixed Use Districts,UMU,558,0,,,,0,,,2010.0094,,12-Feb-10,,68-X,UMU,12-Feb-10,-122.388248,37.762685,4215,,Resident,0,Planning Filed,2,70,-8500,,,,-8500,,,,2400,4045,2,52,37,UMU,68-X,10,,David  Sternberg,882-9783,David  Sternberg 882-9783,San Francisco,1331 Harrison Street
3518006,248 - 252 09th St,WSoMa,CONSTRUCTION,10-Feb-09,3,"The proposed project is the demolition and new construction of two buildings. The project involves demolition of two 2,250 sq.ft buildings, and construction of two buildings. 248 9th Street would be commercial building totaling 11,066 sq.ft., and 252 9th ",TO DEMOLISH 1 STORY THEATER,Mixed Use Districts,SLR,595,14826,14826,,,0,,,2010.0222,200203151580,26-Mar-10,15-Mar-02,50-X,SLR,15-Mar-02,-122.412521,37.774127,4216,72,Mixres,-1,Construction,13,3,5326,,,14826,-5000,-4500,,72,0,3518,6,4,,SLR,50-X,6,,Stanley Chia,415-830-1663,Stanley Chia 415-830-1663,"San Francisco, CA, 94142",P.O. Box 424703
3553008,490 South Van Ness Av,Mission,BP Filed,5-Oct-10,84,"Construction of a new 8-story mixed-use building with 81 dwelling units, 2,529 square-feet of retail, and one basement level with 44 off-street parking spaces. ","TO ERECT 7 STORIES, 1 BASEMENT WITH 84 UNITS RESIDENTIAL & PARKING.",Mixed Use Districts,UMU,230,2529,,,,0,2529,,2010.0043,201010052342,21-Jan-10,5-Oct-10,68-X,UMU,21-Jan-10,-122.417824,37.7654799,4217,,Mixres,-1,BP Filed,3,84,-689,,,,-1620,931,,,14341,3553,8,44,-1,UMU,68-X,6,Bruce D. Baumann & Associates,Bruce D. Baumann,551.7884x3,Bruce D. Baumann 551.7884x3,"San Francisco, CA 94103","1221 Harrison Street, Ste. 22"
0480003E,1456 Chestnut St,Marina,PL Approved,23-Sep-11,3,Demolish existing SFD and construct a new 3-unit residential  building.,,Residential Zoning Districts,RH-3,383,0,,,,,,,2010.0479,,22-Jun-10,,40-X,RH-3,22-Jun-10,-122.427363,37.802233,4218,,Resident,-1,PL Approved,5,2,0,,,,,,,,0,480,003E,,,RH-3,40-X,2,John Schlesinger Architect,John Schlesinger,415.826.3553,John Schlesinger 415.826.3553,"San Francisco, CA 94131",351 Valley Street
1542039,430 03rd Av,Richmond,BP Filed,22-Jan-10,3,,rear addition; 3-levels,Residential Zoning Districts,RH-3,636,0,,,,,,,,201001225204,,22-Jan-10,40-X,RH-3,22-Jan-10,-122.460691,37.780495,4200,,Resident,0,BP Filed,6,1,0,,,,,,,,0,1542,39,,,RH-3,40-X,1,,,,,,
2372024A,3350 Taraval St,Outer Sunset,BP Filed,18-Mar-10,1,Legalize conversion of existing detached garage structure into a dwelling unit.  Project requires a rear yard variance because existing garage is located within the required rear yard.   Parking variance also required.,legalized (e) unpermitted remodeling of (e) garage into a residential in-law or secondary unit as pa,Residential Zoning Districts,RM-1,111,0,,,,,,,2010.0287,201003188484,22-Apr-10,18-Mar-10,40-X,RM-1,18-Mar-10,-122.502318,37.742125,4201,,Resident,0,BP Filed,6,1,0,,,,,,,,0,2372,024A,,,RM-1,40-X,4,"David, Gene, and Associates",David Huynh,510-703-8197,David Huynh 510-703-8197,"Oakland, CA 94604",P.O. Box 31824
3557024,162 Landers St,Market Octavia,CONSTRUCTION,7-Sep-11,2,,"THREE STORIES HORIZONTAL ADDITION, AND ONE STORY VERTICAL ADDITION ,AND ADD ONE DWELLING UNIT INCL. ",Residential Zoning Districts,RTO,231,0,,,,,,,,201001154846,,15-Jan-10,40-X,RTO,15-Jan-10,-122.427936,37.765163,4202,,Resident,-1,Construction,13,1,0,,,,,,,,0,3557,24,,,RTO,40-X,8,,,,,,
3618071,990 Guerrero St,Central,BP ISSUED,11-Mar-11,3,"1. Add a dwelling unit at the ground floor, and to add a parking stacker.
2. Remove a portion of the existing hipped roof to accomodate a roof terrace.
3.  Add four dormers and two skylights.",CONSTRUCT ADDITIONAL DWELLING UNITS @ EXISTING BASEMENT,Residential Zoning Districts,RH-3,165,0,,,,,,,2010.0318,201002035833,3-Aug-10,3-Feb-10,40-X,RH-3,3-Feb-10,-122.423547,37.755364,4203,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,0,3618,71,,,RH-3,40-X,8,Hauser Architects,George Hauser,415.519.5398,George Hauser 415.519.5398,"San Francisco, CA 94114",313 Eureka Street
6360001,60 Burr Av,"South Central, Other",BP Filed,23-Feb-10,0,,CONSTRUCTION OF A 1 STORY ATTACHED BUILDING TO ENCLOSE EXISTING SWIMMING POOL AND IMPROVEMENT TO EXI,Residential Zoning Districts,RH-1,1,4624,,4624,,,0,,,201002236998,,23-Feb-10,40-X,RH-1,23-Feb-10,-122.4142605,37.7098345,4204,,CIE,0,BP Filed,6,0,4624,4624,,,,0,,,0,6360,1,,,RH-1,40-X,10,,,,,,
6566022A,1443 Church St,Central,BP ISSUED,23-Aug-10,2,,"CREATE A NEW 1-BEDROOM APARTMENT WITHIN THE EXISTING GROUND FLOOR, GUEST SUITES WORK TO INCLUDE A NE",Residential Zoning Districts,RH-2,127,0,,,,,,,,201003188524,,18-Mar-10,40-X,RH-2,18-Mar-10,-122.426755,37.7479129,4205,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,0,6566,022A,,,RH-2,40-X,8,,,,,,
103032,140 Jasper Pl,Northeast,PL Filed,4-Mar-10,4,Renovate existing 2-story residential building at Jasper Place by adding third story and to build a new 3-story residential building on the same property.,,Residential Zoning Districts,RM-2,373,0,,,,,,,2010.0145,,4-Mar-10,,40-X,RM-2,4-Mar-10,-122.408347,37.801133,4207,111,Resident,0,Planning Filed,2,2,0,,,,,,,111,0,103,32,2,0,RM-2,40-X,3,,Peter Wilson,510.543.5111,Peter Wilson 510.543.5111,"Oakland, CA 94618",5651 Keith Avenue
797019,890 Grove St,Western Addition,PL Approved,,1,Thrid floor addition of a third unit on an existing 2-unit residential building.,,Residential Zoning Districts,RH-3,265,0,,,,,,,2007.1486,,16-Feb-10,,50-X,RH-3,16-Feb-10,-122.431228,37.776981,4209,,Resident,-1,PL Approved,3,1,0,,,,,,,,3237,797,19,,,RH-3,50-X,5,Topetcher Architecture,Mark Topetcher,415-359-9997,Mark Topetcher 415-359-9997,"San Francisco, CA 94117",828 Divisadero St. 
4212011,1115 Potrero Av,Showpl/Potrero,BP Filed,21-Sep-11,2,,"CONVERT BASEMENT TO LEGAL DWELLING UNIT INCLUDING KITCHEN, LIVING ROOM, 1 BEDROOM, 1 FULL BATH & LAU",Residential Zoning Districts,RH-3,148,0,,,,,,,,201109215213,,21-Sep-11,55-X,RH-3,21-Sep-11,-122.406083,37.754036,4381,,Resident,0,BP Filed,6,1,0,,,,,,,,0,4212,11,,,RH-3,55-X,,,,,,,
3568068,141 Albion St,Mission,BP ISSUED,23-Aug-11,3,,"TO ERECT 3 UNITS, 4 STORIES RESIDENTIAL BUILDING.",Residential Zoning Districts,RTO,221,0,0,0,0,0,0,0,,201006043843,21-Nov-08,4-Jun-10,45-X,RTO-Mission,21-Nov-08,-122.4224701,37.76413727,3798,,Resident,-1,BP Approved/Issued/Re-Instated,11,3,0,0,0,0,0,0,0,,0,3568,68,,0,RTO-Mission,45-X,6,,,,,,
519029,3020 Laguna St,Marina,BP Filed,27-Sep-10,2,"New contruction of 4-story, 2-unit building.","TO ERECT 4 STORIES, 2 UNITS RESIDENTIAL BUILDING.",Residential Zoning Districts,RH-2,370,0,,,,,,,2011.0541,201009271661,24-May-11,27-Sep-10,40-X,RH-2,27-Sep-10,-122.430628,37.799191,4219,,Resident,-1,BP Filed,3,2,0,,,,,,,,0,519,29,,,RH-2,40-X,2,,Kourosh Baradaran,415-789-9222,Kourosh Baradaran 415-789-9222,"Belvedere, CA  94920","1550 Tiburon Boulevard, Suite H"
0634016A,2695 Sacramento St,Marina,PL Approved,29-Nov-10,2,Parking Variance to convert a LCU into a residential unit,,Residential Zoning Districts,RH-3,338,0,,,,,0,,2010.0516,,30-Jun-10,,40-X,RH-3,30-Jun-10,-122.437106,37.789245,4220,,Resident,-1,PL Approved,5,1,-1000,,,,,-1000,,,0,634,016A,,,RH-3,40-X,2,Tardy and Associates,Jill Tardy,415-381-1183,Jill Tardy 415-381-1183,"Mill Valley, CA 94942",PO Box 32
3115043,625 Monterey Bl,"Ingleside, Other",PL Filed,26-May-10,0,"The proposed project is the expansion of an existing grocery store from 19,344 sq.ft. to 40,722 sq.ft., and from 62 parking spaces to 92 parking spaces. Additionally, modifications to the existing public right-of-way and street median are planned to accom",,Neighborhood Commercial Zoning Districts,NC-1,73,40722,6905,0,0,0,33817,0,2010.0401,,26-May-10,,32-X,NC-1,26-May-10,-122.449551,37.731231,4223,,Retail/Ent,0,Planning Filed,2,0,21378,0,0,6905,0,14473,0,,0,3115,43,,,NC-1,32-X,7,"ArcPath Project Delivery, Inc. ",Fred Ponce,415-362-4662,Fred Ponce 415-362-4662,"San Francisco, CA  94104","300 Montgomery St., Ste. 631"
3729013,1234 Folsom St,WSoMa,BP Filed,23-Apr-10,8,Alteration to existing building and adding two stories to existing structure.,Alteration to (E) building and adding two stories over the (E) structure. First story & basement Typ,Mixed Use Districts,SLR,596,0,0,,,,,,2010.0474,201004230976,28-Jun-10,23-Apr-10,50-X,SLR,23-Apr-10,-122.410902,37.774662,4224,72,Resident,0,BP Filed,6,8,-2247,,,-2247,,,,72,0,3729,13,,,SLR,50-X,6,"Theodore Brown & Partners, Inc.",Albert Costa,415-986-5412,Albert Costa 415-986-5412,"San Francisco, CA  94111","1620 Montgomery St., Suite 320"
1279083,31 Parnassus Av,Buena Vista,BP Filed,20-Jan-11,2,,"ADDITION AT REAR YARD. INTERIOR REMODEL, NEW GARAGE, NEW SECOND DWELLING UNITS.",Residential Zoning Districts,RH-2,553,0,,,,,,,,201101208741,,20-Jan-11,40-X,RH-2,20-Jan-11,-122.4482922,37.7650426,4323,,Resident,0,BP Filed,6,1,0,,,,,,,,0,1279,83,,,RH-2,40-X,5,,,,,,
3509043,1321 Mission Street,Downtown,PL Filed,29-Sep-11,180,"To demolish existing building and construct a nex mixed-use building of 120 feet in height, 11 stories, with 180 dwelling units, over 4,400 sf ground level commercial and a basement in a C-3-S zoning district. The project would provide one car-share space",,Downtown Commercial Districts,C-3-S,609,5311,,,,,5311,,2011.0312,,29-Sep-11,,120-F,C-3-S,29-Sep-11,-122.4149665,37.7759048,4382,,Mixres,0,Planning Filed,2,180,-7907,,,,,-7907,,,0,3509,43,,,C-3-S,120-F,,1985 Shelley Living Trust,1985 Shelley Living Trust,847-943-3713,1985 Shelley Living Trust 847-943-3713,"New York, N.Y. 10024","2440 Broadway, #104"
3755101,1123 Folsom St,WSoMa,PL Filed,7-Jul-11,2,Convert the existing 2nd floor tourist hotel to 2 dwelling units without parking.,,Mixed Use Districts,SLR,629,0,,,,,,0,2011.0717,,7-Jul-11,,50-X,SLR,7-Jul-11,-122.408244,37.776089,4383,,Resident,0,Planning Filed,2,2,-3930,,,,,,-3930,,0,3755,101,,,SLR,50-X,,Sia Consulting Corp.,Reza Khoshnevisan,922-0200x108,Reza Khoshnevisan 922-0200x108,"San Francisco, CA 94103",1256 Howard Street
8713001,1155 04th St,Mission Bay,BP Filed,4-Aug-11,147,,ERECT NEW 6 STORIES OF 147,Mixed Use Districts,MB-RA,654,0,,,,,,,,201108041792,,4-Aug-11,MB-RA,MB-RA,4-Aug-11,-122.3914595,37.7735604,4384,,Resident,0,BP Filed,6,147,0,,,,,,,,0,8713,1,,,MB-RA,MB-RA,,,,,,,
3574008,2138 Folsom St,Mission,BP Filed,18-Feb-11,1,,CONVERT WAREHOUSE TO ART STUDIO WITH ACCESSORY DWELLING UNIT. ADD LIVING UNIT ON RAISED PLATFORM AT ,Industrial,PDR-1-G,537,0,,,,,,,,201102180558,,18-Feb-11,58-X,PDR-1-G,18-Feb-11,-122.415444,37.763074,4324,,Resident,0,BP Filed,6,1,0,,,,,,,,0,3574,8,,,PDR-1-G,58-X,6,,,,,,
3612055,748 Treat Av,Mission,BP Filed,31-Jan-11,2,,"ADDITION OF 11'X20' @ REAR OF STRUCTURE, TO COMPLY W/N.O.V#200716838 , DEMO OF WALLS & PROVIDE 4X12 ",Residential Zoning Districts,RH-3,188,0,,,,,,,,201101319346,,31-Jan-11,40-X,RH-3,31-Jan-11,-122.413835,37.758109,4325,,Resident,0,BP Filed,6,1,0,,,,,,,,0,3612,55,,,RH-3,40-X,9,,,,,,
5610029A,10 Lundys Ln,Bernal Heights,BP Filed,30-Mar-11,2,,"CONVERT EXISTING LOWER FLOOR LIVING SPACE INTO DWELLING UNIT, ADD 1 RATE WALL. DOOR AT INTERIOR STAI",Residential Zoning Districts,RH-2,116,0,,,,,,,,201103303154,,30-Mar-11,40-X,RH-2,30-Mar-11,-122.417946,37.745635,4326,,Resident,0,BP Filed,6,1,0,,,,,,,,0,5610,029A,,,RH-2,40-X,9,,,,,,
