Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,Expr1022,Expr1023,FirstFiled,Longitude,Latitude,ObjectID,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,BLOCK,LOT,PARKING,PARKINGNET,ZONING,HEIGHTLIMIT,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
1422016,287 11th Av,Richmond,BP Filed,24-Sep-10,1,,"(REAR BLDG) TO ERECT 3 STORIES, SINGLE FAMILY RESIDENT.",Residential,RM-1,307,0,,,,,,,,2.01009E+11,,24-Sep-10,40-X,RM-1,24-Sep-10,-122.470127,37.783043,3277,Resident,0,BP Filed,6,1,0,,,,,,,1422,16,,,RM-1,40-X,1,,,,,,
1464014,446 33rd Av,Richmond,BP ISSUED,29-Dec-10,2,,VERTICAL & HORIZONTAL ADDITION WITH ADD A 3RD FLOOR WITH FRONT SETBACK & SIDE SETBACKS. ADD UNIT 2 W,Residential,RH-2,675,0,,,,,,,,2.00911E+11,,23-Nov-09,40-X,RH-2,23-Nov-09,-122.493054,37.780738,3278,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,1464,14,,,RH-2,40-X,1,,,,,,
1467020,483 35th Av,Richmond,BP Filed,30-Nov-09,3,,LEGALIZE OCCUPANCY OF ILLEGAL UNIT ON GROUND FLOOR FOR OWNER WITH AMBULATORY DIFFICULTIES. REMODEL U,Residential,RH-2,295,0,,,,,,,,2.00911E+11,,30-Nov-09,40-X,RH-2,30-Nov-09,-122.495744,37.779998,3279,Resident,0,BP Filed,6,1,0,,,,,,,1467,20,,,RH-2,40-X,1,,,,,,
1510025,590 35th Av,Richmond,BP Filed,28-Oct-09,2,,"HORZONTAL ADDITION AT REAR, 1 STORY VERTICAL ADDITION. CONVERT SINGLE FAMILY TO 2 UNITS. BOTH UNITS ",Residential,RH-2,279,0,,,,,,,,2.0091E+11,,28-Oct-09,40-X,RH-2,28-Oct-09,-122.495041,37.777906,3280,Resident,0,BP Filed,6,1,0,,,,,,,1510,25,,,RH-2,40-X,1,,,,,,
3729039,721 Clementina St,WSoMa,BP Filed,24-Dec-09,1,,REMODEL FIRST TWO FLOORS & ADD 2 ADDITIONAL STORIES OF RESIDENTIAL. CONVERT (E) 2ND FLOOR TO RESIDEN,Mixed Use,SLR,596,0,,,,,,,2006.1251,2.00912E+11,12-Oct-06,24-Dec-09,50-X,SLR,12-Oct-06,-122.41092,37.774969,3283,Resident,-1,BP Filed,6,1,0,,,,,,,3729,39,1,1,SLR,50-X,6,"Arcsine, Inc.",Daniel Scovill,510.444.2410,Daniel Scovill 510.444.2410,"Oakland, CA 94607","2121 Peralta Street, Ste 129"
6592016,322 Duncan St,Central,BP ISSUED,30-Sep-10,2,Addition/alteration of existing single-family residence to add 1 new unit and 4 feet of height to the existing 25' building.,Remodel & addition of an additional unit to an (e) 2-story single fam. dwelling including 2-car gara,Residential,RH-2,120,0,,,,,,,2010.0067,2.00912E+11,2-Feb-10,22-Dec-09,40-X,RH-2,22-Dec-09,-122.427951,37.746266,3285,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,6592,16,2,1,RH-2,40-X,8,Bruce D. Baumann & Associates,Bruce D. Baumann,551.7884x3,Bruce D. Baumann 551.7884x3,"San Francisco, CA 94103","1221 Harrison Street, Ste. 22"
512025,2353 Lombard St,Marina,BP Filed,29-Jul-10,21,"Demo of existing 2-story restaurant and construction of a new 4-story mized use building. New building will consist of underground parking, ground floor commercial w/ parking and 3 stories of residential units.","TO ERECT 4 STORIES, TYPE 5, 21 DWELLING UNITS, MIXED USE BUILDING.",Mixed Use,NC-3,815,5364,,,,,5364,,2009.1177,2.01007E+11,29-Dec-09,29-Jul-10,40-X,NC-3,29-Dec-09,-122.440138,37.799036,3287,Mixres,0,BP Filed,2,21,964,,,,,964,,512,25,41,11,NC-3,40-X,2,Kotas/Pantaleoni Architects,Anthony Pantaleoni,415-495-4051,Anthony Pantaleoni 415-495-4051,"San Francisco, CA  94107",70 Zoe Street - Suite 200
670024,1433 Bush St,Downtown,PL Filed,17-Nov-09,26,"Demolition of a one-story building and construction of mixed-use building with 26 residential units, 2,100 square-feet of retail space, and 33 off-street parking spaces. The proposed buidling would be 112-feet in height and 63,130 square-feet, with 15,750",,Mixed Use,RC-4,322,2180,,,,,2180,,2009.1074,,17-Nov-09,,130-V,RC-4,17-Nov-09,-122.42089,37.788535,3288,Mixres,0,Planning Filed,2,26,-4420,,,,,-4420,,670,24,31,31,RC-4,130-V,3,Joma Architects,Antony Joma,408-838-0087,Antony Joma 408-838-0087,"San Jose, CA 95129",6111 Edenhall Drive
818048,447 Linden St,Market Octavia,BP Filed,30-Dec-09,2,,"construct new 4-story, 2-unit building.",Residential,RTO,268,0,,,,,,,,2.00912E+11,,30-Dec-09,40-X,RTO,30-Dec-09,-122.425277,37.7759659,3289,Resident,0,BP Filed,6,2,0,,,,,,,818,43,,,RTO,40-X,5,,,,,,
997004,3310 Clay St,Richmond,BP ISSUED,12-May-11,1,,ERECT A  FOUR STORY SINGLE FAMILY DWELLING.,Residential,RM-1,331,0,,,,,,,,2.00911E+11,,2-Nov-09,40-X,RM-1,2-Nov-09,-122.4473823,37.7890569,3290,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,997,4,,,RM-1,40-X,2,,,,,,
1260035,35 Lloyd St,Buena Vista,BP Filed,12-May-10,2,"Vacant lot and new construction of a 4- story, 2-unit residential building with 2 parking spaces.","TO ERECT 4 STORIES, 2 UNITS RESIDENTIAL BUILDING.",Residential,RH-3,238,0,,,,,,,2009.117,2.01005E+11,2-Mar-10,12-May-10,40-X,RH-3,2-Mar-10,-122.435672,37.769646,3291,Resident,-1,BP Filed,2,2,0,,,,,,,1260,35,2,2,RH-3,40-X,8,Gladstone & Associates,Ian OBanion,415-434-9500,Ian OBanion 415-434-9500,"SF, CA 94108","Penthouse, 177 Post Street"
4058008,616 20th St,Central Waterfront,BP Filed,9-Dec-10,16,,"ERECT 5 STORIES, 16 DWELLING UNITS TYPE 1 & 5, COMMERCIAL & RESIDENTIAL NEW BUILDING.",Mixed Use,M-2,558,2000,,,,,2000,,,2.01012E+11,,9-Dec-10,68-X,UMU,9-Dec-10,-122.387975,37.760768,3298,Mixres,0,BP Filed,6,16,-1000,,,,,-1000,,4058,8,,,UMU,68-X,10,,,,,,
4624004,63 West Point Rd,Other S Bayshore,BP ISSUED,9-Sep-10,52,,Multiple Permits,Residential,RM-1,445,0,,,,,,,2007.0168,2.00912E+11,,22-Dec-09,40-X,RM-1,22-Dec-09,-122.3808161,37.7367345,3299,Resident,-1,BP Approved/Issued/Re-Instated,11,52,0,,,,,,,4624,4,739,739,RM-1,40-X,10,San Francisco Housing Authorty,Juan  Monsanto,415-715-3217,Juan  Monsanto 415-715-3217,"S.F., CA. 94124","1815 Egbert Ave, #301"
5262004,2095 Jerrold Ave,"BVHP Area A,B",PL Approved,26-Mar-10,0,A master planned expansion and retention of the SF Wholesall Produce Market.  This project will be implemented in phases,,Industrial,PDR-2,485,464553,85472,,,375081,4000,,2009.1153,,18-Dec-09,,65-J,PDR-2,18-Dec-09,-122.3986821,37.7439955,3300,PDR,-1,PL Approved,5,,127779,,,47468,78811,1500,,5262,4,532,298,PDR-2,65-J,10,City & Co. of SF Market Corp,Michael  Janis,415-821-2742,Michael  Janis 415-821-2742,"San Francisco, CA  94124",2095 Jerrold Ave
5312018,1766 Oakdale Av,"BVHP Area A,B",PL Approved,16-Apr-10,2,3-story rear horizontal addition.,,Residential,RH-2,407,0,,,,,,,2009.1083,,19-Nov-09,,40-X,RH-2,19-Nov-09,-122.393282,37.736573,3301,Resident,-1,PL Approved,5,1,0,,,,,,,5312,18,,,RH-2,40-X,10,,Barbara Shands,415-641-7320,Barbara Shands 415-641-7320,"San Francisco, CA 94114",1286 Sanchez St
5512029,56 Peralta Av,Bernal Heights,BP Filed,31-Dec-09,2,the project proposes the new construction of two new residential buildings each having two dwelling units a piece.  The total number of required off-street parking spaces is 7.  4 are proposed.,"ERECT A 2 UNIT, 2 STORY RESIDENTIAL BUILDING",Residential,RH-2,126,0,,,,,,,2010.0367,2.00912E+11,13-May-10,31-Dec-09,40-X,RH-2,31-Dec-09,-122.4063771,37.7478222,3302,Resident,0,BP Filed,6,2,0,,,,,,,5512,29,,,RH-2,40-X,9,SIA Consulting Engineers,Reza Kosh,415.584.0504,Reza Kosh 415.584.0504,"San Francisco, CA  94112",5739 Mission St.
5512031,62 Peralta Av,Bernal Heights,BP Filed,31-Dec-09,2,,"ERECT A 2 UNIT, 3 STORY RESIDENTIAL BUILDING",Residential,RH-2,126,0,,,,,,,,2.00912E+11,,31-Dec-09,40-X,RH-2,31-Dec-09,-122.4064492,37.747779,3303,Resident,0,BP Filed,6,2,0,,,,,,,5512,31,,,RH-2,40-X,9,,,,,,
6122001,5 Dwight St,"South Central, Other",BP Filed,16-Aug-10,7,"Addition to exiting mixed-use building, creating a total of 6 dwelling units and maintaining the groundfloor commercial uses.",VERTICAL & HORIZONTAL ADDITION TO EXISTING MIXED USE BUILDING. REMODEL & RECONFIGURE & ADDITION TO R,Mixed Use,NC-2,51,2765,,,,,2765,,2009.0979,2.01008E+11,14-Oct-09,16-Aug-10,40-X,NC-2,14-Oct-09,-122.402354,37.723812,3304,Mixres,0,BP Filed,2,6,436,,,,,436,,6122,1,7,7,NC-2,40-X,10,"J. Langston Ewell, Design Studio",Jerrod Langston Ewell,650 359 4100,Jerrod Langston Ewell 650 359 4100,"Pacifica, CA  94044",452 Monterey Road
6706027,729 Congo St,"Ingleside, Other",BP ISSUED,18-Aug-10,1,,ERECT A 4 STORY SINGLE FAMILY DWELLING,Residential,RH-1,95,0,,,,,,,,2.0091E+11,,14-Oct-09,40-X,RH-1,14-Oct-09,-122.441672,37.73563,3306,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,6706,27,,,RH-1,40-X,7,,,,,,
7106058,200 Broad St,"Ingleside, Other",BP Filed,20-Oct-09,2,,"CONSTRUCTION OF THREE-STORY TWO DWELLING UNITS WITH COMMERCIAL, MIX USE.",Mixed Use,NC-1,20,0,,,,,,,,2.0091E+11,,20-Oct-09,40-X,NC-1,20-Oct-09,-122.459183,37.713377,3307,Resident,0,BP Filed,6,2,0,,,,,,,7106,58,,,NC-1,40-X,11,,,,,,
7106059,202 Broad St,"Ingleside, Other",BP Filed,20-Oct-09,2,,CONSTRUCTION OF THREE-STORY TWO DWELLING UNITS.,Mixed Use,NC-1,20,0,,,,,,,,2.0091E+11,,20-Oct-09,40-X,NC-1,20-Oct-09,-122.4591745,37.7131958,3308,Resident,0,BP Filed,6,2,0,,,,,,,7106,59,,,NC-1,40-X,11,,,,,,
5314049,1939 Newcomb Av,"BVHP Area A,B",CONSTRUCTION,13-Jun-11,0,,CONSTRUCT A ONE STORY VEHICULAR REPAIR & STORAGE & PARKING AREA FOR TOWED CARS.,Industrial,PDR-2,488,1000,0,0,0,1000,0,0,,2.01004E+11,,2-Apr-10,40-X,PDR-1-B/PDR-2,2-Apr-10,-122.3961234,37.7388048,4228,PDR,-1,Construction,13,0,1000,0,0,0,1000,0,0,5314,49,,,PDR-1-B/PDR-2,40-X,10,,,,,,
5859033,228 Sweeny St,"South Central, Other",PL Approved,,2,"Add 3rd story to existing SFD, lot split, and construction of new SFD.",,Residential,RH-1,92,0,,,,,,,2010.0249,,12-Apr-10,,40-X,RH-1,12-Apr-10,-122.41008,37.732505,4229,Resident,-1,PL Approved,3,1,0,,,,,,,5859,33,,,RH-1,40-X,9,,Hawk N. Lee,415 681-6325,Hawk N. Lee 415 681-6325,"San Francisco, CA  94122",1609 Noriega Street
6034015,622 Cambridge St,"South Central, Other",CONSTRUCTION,10-Jun-11,1,,"TO ERECT 3 STORIES, SINGLE FAMILY RESIDENCE.",Residential,RH-1,900,0,,,,,,,,2.01006E+11,,7-Jun-10,40-X,RH-1,7-Jun-10,-122.4172793,37.7236526,4230,Resident,-1,Construction,13,1,0,,,,,,,6034,15,,,RH-1,40-X,9,,,,,,
343014,181 Turk St,Downtown,BP REINSTATED,10-Mar-09,32,"Build 32 dwellings, ground floor commercial space and 8 off-street parking spaces on site authorized as vacant, but used as parking lot.","ERECT 4 STORY RESIDENTIAL, RETAIL & PARKING BUILDING",Mixed Use,RC-4,296,3060,0,0,0,0,3060,0,2005.0267,2.00608E+11,16-Mar-05,23-Aug-06,80-120-T,RC-4,16-Mar-05,-122.411966,37.78292,283,Mixres,-1,BP Approved/Issued/Re-Instated,8,32,3060,0,0,0,0,3060,0,343,14,8,8,RC-4,80-120-T,6,Gabriel Ng and Associates,Jeremy  Schaub,682-8060x103,Jeremy  Schaub 682-8060x103,"San Francisco,  CA  94122","1360 9th Ave, #210"
345004,220 Golden Gate Av,Downtown,PL Approved,10-Sep-08,174,"The project is the rehabilitation and alteration of the Central YMCA, including the addition of a wellness center and retail space on the ground floor and170-180 units of supportive housing above.  ",,Commercial,C-3-G,302,28230,15550,3030,,,9650,,2007.098,,13-Feb-08,,80-X,C-3-G,13-Feb-08,-122.414253,37.781955,287,Mixres,-1,PL Approved,5,172,-30690,0,,-13670,,-17020,,345,4,,,C-3-G,80-X,6,AF Evans,Bre Jones,510-264-4675,Bre Jones 510-264-4675,"Oakland, CA 94607","1000 Broadway, Suite 300"
347016,399 Golden Gate Av,Downtown,PL Approved,27-Nov-07,0,"The proposal is the construction of a new Shih Yu-Lang Central YMCA Community Facility on land owne by the Hastings College of Law.  The new facility would include approcimately 53,000 gsf in four stories above a full basement at a height of about 76 feet",,Mixed Use,RC-4,286,53000,0,0,0,0,53000,0,2006.1532,,28-Dec-06,,80-T,RC-4,28-Dec-06,-122.416948,37.78135,291,Retail/Ent,-1,PL Approved,5,0,53000,0,0,0,0,53000,0,347,13,0,-1,RC-4,80-T,6,Equity Community Builders,Suzanne  Brown,561-6200,Suzanne  Brown 561-6200,San Francisco CA 94129,"38 Keyes Ave,"
348015,277 Golden Gate Av,Downtown,BP ISSUED,22-Dec-08,88,"remodel existing 5-story building containing a TV studio into a 6-story apartment building, for a total of 92 dwelling units with 23 parking spaces.","REVISION TO APPL#9825929-S & 200610195538, CHANGE UNIT COUNT FROM 92 TO 88. REVISE PREVIOUSLY APPROV",Commercial,C-3-G,286,0,0,0,0,0,0,0,1998.42,2.0071E+11,17-Feb-99,18-Oct-07,80-X,C-3-G,17-Feb-99,-122.415039,37.781577,292,Resident,-1,BP Approved/Issued/Re-Instated,11,88,-49945,0,0,-49945,0,0,0,348,15,23,23,C-3-G,80-X,6,PANCO Development Inc.,PANCO Development Inc.,433-0177,PANCO Development Inc. 433-0177,"San Francisco, CA 94108","243 Kearny St.,"
349001,101 Golden Gate Av,Downtown,BP Filed,15-Dec-10,90,"Request for a Conditional Use authorization for a mixed-use building exceeding 40 feet in an R District, for future philanthropic uses above the ground floor, and exceptions to parking, rear yard, upper story front setback requirements in order to constru","ERECT 10 STORIES, 90 DWELLING UNITS, 1 BASEMENT, DINING, SOCIAL SERVICES, AFFORDABLE APARTMENTS BUIL",Mixed Use,RC-4,296,20000,0,20000,0,0,0,0,2005.0869,2.01012E+11,5-Jun-08,15-Dec-10,80-120-T,RC-4,5-Jun-08,-122.412374,37.781936,293,Mixres,0,BP Filed,7,90,20000,20000,0,0,0,0,0,349,1,,,RC-4,80-120-T,6,Reuben & Junius,Joel  Yodowitz,415 567 9000,Joel  Yodowitz 415 567 9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
853021,102-104 Octavia Street,Market Octavia,PL Filed,8-Jun-07,30,Youth housing,,Mixed Use,NCT,587,0,0,0,0,0,0,0,,,,8-Jun-07,50-X,HAYES NCT,8-Jun-07,-122.423554,37.773097,579,Resident,0,Planning Filed,2,30,0,0,0,0,0,0,0,853,21,,0,HAYES NCT,50-X,5,,,,,,
854001,1600 Market St,Market Octavia,PL Approved,16-May-11,24,"The project would demolish an existing commercial building and construct a new nine-story structure approximately 84 fee tall with ground floor restaurant (3,700 sq. ft.) and below ground parking for 8 spaces.  Total gross building area is 41,435 square f",,Mixed Use,NCT-3,588,12100,,,,,12100,,2007.0966,,16-May-11,,85-X,NCT-3,16-May-11,-122.420801,37.774013,580,Mixres,-1,PL Approved,5,24,16889,,,,,6889,,854,1,,,NCT-3,85-X,6,Overtime Partners LLC,Brian Spiers,415-445-4670,Brian Spiers 415-445-4670,San Francisco CA 94111,"388 Market Street, Suite 1300"
855011,4 Octavia St,Market Octavia,PL Filed,6-Oct-08,49,"new construction of  mixed-use building containing +/- 49 dwelling units, +/-3,500 sq. ft. of ground-floor commercial space & a parking garage containing 37 residential-serving spaces & 2 commercial-serving spaces (39 total) -- ""C' for a lot in excess of ",,Mixed Use,NCT-3,587,3530,,,,,3530,,2008.0569,,14-May-08,,50-X/85-X,HAYES NCT/NCT-3,14-May-08,-122.423383,37.772172,583,Mixres,0,Planning Filed,5,49,3530,,,,,3530,,855,11,39,39,HAYES NCT/NCT-3,50-X/85-X,8,AkS Development Group LLC,Ali Kia Shabahangi,415 362-3600,Ali Kia Shabahangi 415 362-3600,"San Francisco, CA  94102","870 Market Street, Suite 786"
857001,55 Laguna Street,Market Octavia,PL Approved,17-Jan-08,440,"Mixed-use project which would include construction of seven new buildings and the adaptive re-use of two existing buildings for 491 dwelling units, 421 off-street parking spaces, 3,500 GSF of retail use, 12,000 GSF for a dental clinic, and 12,590 GSF for ",,Residential,NC-3,243,3500,0,0,0,0,3500,0,2004.0773,,31-Oct-06,,40-X,RM-3,31-Oct-06,-122.425394,37.771351,584,Mixres,-1,PL Approved,5,440,28090,12590,12000,0,0,3500,0,857,1,310,310,RM-3,40-X,8,AF Evans,Ruthy  Bennett,510.267.4679,Ruthy  Bennett 510.267.4679,"Oakland, CA  94607","1000 Broadway, Suite 300"
871016,1844 Market St,Market Octavia,CONSTRUCTION,17-Jul-07,113,"The proposed project is demolition of a 3-story 6,400-gsf office building and construction of a 7-story 140,380-gsf mixed use residential structure in two buildings with shared basement parking, and a podium courtyard, spanning the midblock approaching th","TO ERECT 8 STORIES, 113 DWELLING UNITS OF RESIDENTIAL / RETAIL / PARKING / ASSEMBLY.",Mixed Use,NCT-3,248,5100,,,,,5100,,2004.0892,2.00607E+11,1-Jun-05,14-Jul-06,85-X,NCT-3,1-Jun-05,-122.424217,37.771347,593,Mixres,-1,Construction,13,113,3033,-1071,0,-996,0,5100,0,871,16,83,83,NCT-3,85-X,8,Reuben & Junius ,David Silverman,415 567 9000,David Silverman 415 567 9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
2719B003,125 Crown Tr,Central,BP Filed,27-Mar-08,1,Mnadatory DR for demo/new construction,NEW SINGLE FAMILY RESIDENCE,Residential,RM-1,177,0,,,,,,,2008.116,2.00803E+11,2-Oct-08,27-Mar-08,40-X,RH-1,27-Mar-08,-122.446899,37.757425,1327,Resident,0,BP Filed,6,1,0,,,,,,,2719B,3,,,RH-1,40-X,8,Riddle Associates,Bill Riddle,415.467.6635,Bill Riddle 415.467.6635,"Brisbane, CA 94005",7 Lemming Way
2747005A,56 Grand View Av,Central,BP APPROVED,12-Jun-07,2,,"addition of 2nd (studio) unit, mep separate permit.",Residential,RH-2,178,0,0,0,0,0,0,0,,2.00702E+11,,20-Feb-07,40-X,RH-2,20-Feb-07,-122.440824,37.756667,1331,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,0,0,0,0,0,0,2747,005A,,,RH-2,40-X,8,,,,,,
2752024,331 Collingwood St,Central,BP Filed,13-Jan-06,1,,ERECT 2 STORIES SINGLE FAMILY DWELLING,Residential,RH-2,179,0,0,0,0,0,0,0,,2.00601E+11,,13-Jan-06,40-X,RH-2,13-Jan-06,-122.435594,37.75715,1335,Resident,0,BP Filed,6,1,0,0,0,0,0,0,0,2752,24,,,RH-2,40-X,8,,,,,,
2764021,3715 Market St,Central,BP Filed,21-Jan-05,2,,ERECT 4 STORIES OF 2 FAMILY DWELLING,Residential,RH-2,178,0,0,0,0,0,0,0,,2.00501E+11,,21-Jan-05,40-X,RH-2,21-Jan-05,-122.441662,37.75456,1338,Resident,0,BP Filed,6,1,0,0,0,0,0,0,0,2764,21,,,RH-2,40-X,8,,,,,,
2768007,446 Diamond St,Central,BP ISSUED,18-Nov-08,2,"Addition of a single-story garage to the front of the existing 3-story, 2,253 sqft single-family dwelling. Convert existing garage into new unit. Rearyard horizontal addtion. The result is a 3,008 sqft two-unit residence.",Add one story garage (2) car garage in (E) front. Horizontal addition at rear (add one story to exis,Residential,RH-2,161,0,,,,,,,2007.1394,2.00709E+11,7-Dec-07,11-Sep-07,40-X,RH-2,11-Sep-07,-122.436837,37.755194,1341,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,2768,7,,,RH-2,40-X,8,,Kevin Ma,415.279.1578,Kevin Ma 415.279.1578,"San Francisco, CA 94109",1359 Broadway
2821010,83 Panorama Dr,Inner Sunset,BP APPROVED,3-Jun-10,1,,ERECT A NEW 2 STORY SINGLE FAMILY DWELLING.,Residential,P,151,0,,,,,,,,2.00711E+11,,7-Nov-07,40-X,RH-1,7-Nov-07,-122.451081,37.74703,1349,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,2821,10,,,RH-1,40-X,7,,,,,,
2821021,1240 Twin Peaks Bl,Inner Sunset,BP APPROVED,26-May-10,1,"Proposed to escavate and ugrade an existing unimproved portion of the public right-of-way and construct : driveways,retaining walls, sidewalk improvements,landscaping.",ERECT 3 STORY SINGLE FAMILY DWELLING.,Residential,RH-1,151,0,,,,,,,2009.016,2.0081E+11,,22-Oct-08,40-X,RH-1,22-Oct-08,-122.450232,37.746403,1350,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,2821,21,,,RH-1,40-X,7,DPW-Bureau of Street Use & Mapping,Nick Elsner,94103,Nick Elsner 94103,"San Francisco, CA",875 Stevenson St.Rm. 460
3511055,1029 Natoma St,WSoMa,PL Approved,11-Jun-09,4,"The proposal is to demolish a single-family fire-damaged structure, origianlly constructed in 1922, and to construct a new 4-unit residential structure in five stories.",,Mixed Use,SLR,591,0,0,0,0,0,0,0,2006.108,,18-May-07,,50-X,SLR,18-May-07,-122.416344,37.773114,1351,Resident,-1,PL Approved,3,3,0,0,0,0,0,0,0,3511,55,,,SLR,50-X,6,Stanley Saitowitz Office,Edward Kim,626.8977x105,Edward Kim 626.8977x105,San Francisco,1022 Natoma Street #3
3702053,1169 Market St,Downtown,PL APPROVED,3-Aug-06,1460,"The proposed project is to demolish the existing 263,602gsf, 377 unit apartment complex and construction of a 1,500,000gsf three connected residential buildings over a 2-story podium, containing about 1,410 dwelling units, 20,000gsf of ground-floor retail",,Commercial,C-3-G,621,40000,0,0,0,0,40000,0,2002.1179,,15-Jul-03,,150-S,C-3-G,15-Jul-03,-122.414016,37.779181,1366,Mixres,-1,PL Approved,5,1083,33540,0,0,0,0,33540,0,3702,53,1050,1050,C-3-G,150-S,6,Trinity Properties,Angelo Sangiacomo,415 864-1111,Angelo Sangiacomo 415 864-1111,"San Francisco, CA 94103","1145 Market Stree,t #1200"
3703079,1036-1040 Mission St,Downtown,PL Approved,14-May-09,100,"100% Affordable residential mid-rise, 106-du, with ground-floor retail, approx 116,055-gsf total, on two lots, in one structure with two bldg two masses-- one 13-story, one 8-story --and two City Carshare spaces, on existing surface parking lot.",,Commercial,C-3-G,666,1256,,,,,1256,,2007.1464,,5-Nov-08,,120-X,C-3-G,5-Nov-08,-122.409685,37.780374,1370,Mixres,-1,PL Approved,2,100,1256,,,,,1256,,3703,79,0,-80,C-3-G,120-X,6,Tenderloin Neighborhood Dev,Renu Madan,415 776 2151,Renu Madan 415 776 2151,"San Francisco, Ca 94102",201 Eddy Street
3726047,537 Natoma St,East SoMa,BP Filed,1-Sep-05,14,Demolish existing structure and construct 14 residential dwelling units and 14 parking spaces. ,TO ERECT 14 DWELLING UNIT WITH 4 STORY BLDG,Residential,RED,669,5425,0,0,0,5425,0,0,2005.099,2.00509E+11,20-Oct-05,1-Sep-05,45-X,RED,1-Sep-05,-122.408324,37.779476,1374,Mixres,0,BP Filed,6,14,-5425,0,0,0,-5425,0,0,3726,47,14,14,RED,45-X,6,Martin McCarthy & Drew Casey,Martin McCarthy,415-715-1385,Martin McCarthy 415-715-1385,San Francisco CA 94116,539 Dewey Blvd. 
2821022,1230 Twin Peaks Bl,Inner Sunset,BP APPROVED,26-May-10,1,,ERECT A THREE STORY SINGLE FAMILY DWELLING.,Residential,RH-1,151,0,,,,,,,,2.0081E+11,,22-Oct-08,40-X,RH-1,22-Oct-08,-122.450135,37.746442,1375,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,2821,22,,,RH-1,40-X,7,,,,,,
2822022,23 Midcrest Wy,Inner Sunset,BP Filed,9-Jan-08,1,,CONSTRUCT THREE-STORY SINGLE FAMILY DWELLING.,Residential,RH-1,154,0,,,,,,,,2.00801E+11,,9-Jan-08,40-X,RH-1,9-Jan-08,-122.449781,37.747356,1376,Resident,0,BP Filed,6,1,0,,,,,,,2822,22,,,RH-1,40-X,7,,,,,,
2845005,70 Crestline Dr,Central,BP Filed,25-Aug-09,5,Vacant lot/Split lot from larger lot and construct 4-unit residential building.,"TO ERECT 4 STORY TYPE 5, 5 DWELLING UNITS",Residential,RM-1,167,0,,,,,,,2010.0725,2.00908E+11,23-Aug-10,25-Aug-09,40-X,RM-1,25-Aug-09,-122.446163,37.751268,1383,Resident,0,BP Filed,6,5,0,,,,,,,2845,5,,,RM-1,40-X,8,Santos & Urrutia,Cherine Ang,642-7722,Cherine Ang 642-7722,"San Francisco, CA 94110",2451 Harrison Street
2861011,160 San Marcos Av,Inner Sunset,BP Filed,31-Oct-08,1,To construct a three-story over garage single-family dwelling on a vacant lot.,"ERECT A 3-STORIES, SINGLE FAMILY RESIDENCE WITH 1 BASEMENT.",Residential,RH-1(D),481,0,0,0,0,0,0,0,2009.0085,2.0081E+11,28-Jan-09,31-Oct-08,40-X,RH-1(D),31-Oct-08,-122.465326,37.747021,1385,Resident,0,BP Filed,7,1,0,0,0,0,0,0,0,2861,11,,,RH-1(D),40-X,7,,Luigi Silverman,864-7013,Luigi Silverman 864-7013,"San Francisco, CA  94114",8 Beaver Street
2901C001,701 Portola Dr,Inner Sunset,PL Filed,28-Jan-11,0,"Gas Station demolition, construction of 10, 265 square foot building for CVS pharmacy, a formula retail, on a 7,800 square foot lot.",TO ERECT 1 STORY/MEZZANINE RETAIL/PHARMACY,Mixed Use,NC-1,117,10265,,,,,10265,,2011.0084,2.00812E+11,28-Jan-11,10-Dec-08,26-X,NC-1,10-Dec-08,-122.45326,37.744306,1389,Retail/Ent,0,Planning Filed,2,0,10265,,,,,10265,,2901C,1,,,NC-1,26-X,7,Reuben & Junius LLP,John Kevlin,415.567.9000,John Kevlin 415.567.9000,"San Francisco, CA","1 Bush Street, ste 600"
2923078,112 Kensington Wy,Inner Sunset,BP Filed,23-Jan-08,1,,ERECT A NEW 3 STORY SINGLE FAMILY DWELLING.,Residential,RH-1(D),118,0,,,,,,,,2.00801E+11,,23-Jan-08,40-X,RH-1(D),23-Jan-08,-122.45995,37.741392,1395,Resident,0,BP Filed,6,1,0,,,,,,,2923,35,,,RH-1(D),40-X,7,,,,,,
