,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified
13275,2013-06-26,227 WEST POINT ROAD,4624009,2013-06-26,PL FILED,,,201302079710,2007-02-14,2008-06-12,2007-02-14,2013-06-26,PL FILED,"('2008-06-12', '2008-12-10', '2008-12-10', '2008-12-10', '2008-12-10', '2008-12-10', '2008-12-10', '2008-12-10', '2008-12-10', '2008-12-10', '2008-12-10', '2008-12-10', '2008-12-10', '2008-12-10', '2013-02-07', '2013-06-26', '2013-06-26')",,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP FILED', 'BP ISSUED', 'PL FILED')",3,2013,Proposed,54.0,54.0,-122.379131,37.735079999999996,RH-2,RH-2
1114,,HUNTERS VIEW,4624031,2017-03-31,CONSTRUCTION,07/01/2017,2017-03-31,MULTIPLE,2017-03-31,2017-03-31,,2017-03-31,CONSTRUCTION,"('2017-03-31', '2017-03-31')",92.0,"('CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,107.0,107.0,,,RH-2/RM-1/M-1,RH-2/RM-1/M-1
16843,,700 INNES ST,4644002A,2014-12-09,PL FILED,,,,2014-12-09,2014-12-09,2014-12-09,2014-12-09,PL FILED,"('2014-12-09', '2014-12-09', '2014-12-09')",,"('PL FILED', 'PL FILED', 'PL FILED')",1,2016,Proposed,980.0,980.0,-122.372037,37.7301874108,NC-2,NC-2
1048,,INDIA BASIN,4644002A,2014-12-09,PL FILED,,,,2014-12-09,2014-12-09,2014-12-09,2014-12-09,PL FILED,"('2014-12-09', '2014-12-09', '2014-12-09', '2014-12-09', '2014-12-09')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,1240.0,1240.0,,,,
1670,2007-11-06,818 INNES AV,4645002B,2016-05-03,BP FILED,,,201605036396,2004-01-27,2007-11-06,2004-01-27,2016-05-03,BP FILED,"('2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2007-11-06', '2016-05-03', '2016-05-03', '2016-05-03', '2016-05-03', '2016-05-03')",,"('BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,3.0,3.0,,,,
1899,2015-08-27,870 INNES AV,4645017,2015-08-27,BP ISSUED,,,201407302502,2005-01-31,2008-02-05,2005-01-31,2015-08-27,BP ISSUED,"('2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2008-02-05', '2014-09-26', '2014-09-26', '2014-09-26', '2014-09-26', '2014-09-26', '2014-09-26', '2014-09-26', '2015-08-27', '2015-08-27', '2015-08-27', '2015-08-27', '2015-08-27')",,"('BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,2.0,2.0,,,NC-2,NC-2
11346,2008-11-03,860 INNES AV,4645018,2013-06-24,BP ISSUED,,,200402267273,2004-02-26,2008-11-03,2004-02-26,2013-06-24,BP ISSUED,"('2008-11-03', '2008-11-03', '2008-11-03', '2008-11-03', '2008-11-03', '2008-11-03', '2008-11-03', '2008-11-03', '2008-11-03', '2008-11-03', '2008-11-03', '2008-11-03', '2008-11-03', '2008-11-03', '2008-11-03', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24')",,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",4,2015,Building Permit Approved,4.0,4.0,-122.375245429,37.7320092927,NC-2,NC-2
30738,,900 INNES AVE,4646020,2004-09-17,PL FILED,,,,2004-09-17,2004-09-17,2004-09-17,2004-09-17,PL FILED,"('2004-09-17',)",,"('PL FILED',)",3,2009,Proposed,128.0,128.0,-122.376894,37.732734,NC-2,NC-2
1443,,1065 INNES AV,4652014,2017-02-07,BP FILED,,,201702078811,2017-02-07,2017-02-07,,2017-02-07,BP FILED,"('2017-02-07', '2017-02-07')",,"('BP FILED', 'BP FILED')",2,2017,Proposed,3.0,3.0,,,,
2329,2017-01-06,947 INNES AV,4653016,2017-04-20,BP ISSUED,,,201511203195,2015-11-20,2015-11-20,2015-11-20,2017-04-20,BP ISSUED,"('2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20', '2017-01-06', '2017-04-20')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED')",2,2017,Building Permit Approved,2.0,1.0,,,,
10065,,881 INNES AV,4654013,2006-02-23,PL APPROVED,,,,2005-11-10,2006-02-23,2005-11-10,2006-02-23,PL APPROVED,"('2006-02-23', '2006-02-23', '2006-02-23', '2006-02-23')",,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",2,2011,Proposed,1.0,0.0,-122.375373,37.731634,RH-1(S),RH-1(S)
2165,2017-03-21,144 CASHMERE ST,4710084,2017-07-11,BP ISSUED,,,201603162149,2015-11-10,2015-11-10,2015-11-10,2017-07-11,BP ISSUED,"('2015-11-10', '2016-03-16', '2016-03-16', '2016-03-16', '2016-03-16', '2017-03-21', '2017-07-11')",,"('PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED')",2,2017,Building Permit Approved,0.0,0.0,,,,
27910,,HUDSON AVE AND WHITNEY YOUNG CIR,4711118,2009-01-01,CONSTRUCTION,07/01/2010,2009-01-01,,2007-06-06,2007-06-06,2007-06-06,2009-01-01,CONSTRUCTION,"('2007-06-06', '2009-01-01', '2009-01-01', '2009-01-01')",1121.0,"('PL FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2010,Under Construction,24.0,24.0,-122.38136000000002,37.73284,RH-2,RH-2
2323,,1 ARDATH COURT (COMMUNITY CENTER),4712008,2015-12-17,BP FILED,,,201512175326,2015-11-17,2015-12-17,2015-11-17,2015-12-17,BP FILED,"('2015-12-17', '2015-12-17', '2015-12-17', '2015-12-17', '2015-12-17', '2015-12-17', '2015-12-17')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,0.0,0.0,,,,
28537,2009-03-26,903 PALOU AV,4755048,2010-06-16,CONSTRUCTION,07/01/2010,2010-06-16,200807237358,2008-07-23,2009-03-26,2008-07-23,2010-06-16,CONSTRUCTION,"('2009-03-26', '2009-03-26', '2009-03-26', '2010-06-16')",708.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2010,Under Construction,0.0,0.0,-122.378156,37.726523,PDR-2,PDR-2
1588,,1187 PALOU AV,4757014,2015-11-10,BP FILED,,,201511102336,2015-11-10,2015-11-10,2015-11-10,2015-11-10,BP FILED,"('2015-11-10', '2015-11-10', '2015-11-10', '2015-11-10', '2015-11-10', '2015-11-10', '2015-11-10')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,1.0,,,,
1714,,1167 PALOU AV,4757047,2014-10-28,BP FILED,,,201410280026,2014-10-28,2014-10-28,2014-10-28,2014-10-28,BP FILED,"('2014-10-28', '2014-10-28', '2014-10-28', '2014-10-28', '2014-10-28', '2014-10-28', '2014-10-28', '2014-10-28', '2014-10-28', '2014-10-28', '2014-10-28')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,1.0,,,,
27214,2012-03-23,1382 REVERE AV,4761031,2012-03-23,BP APPROVED,,,201112050109,2011-12-05,2011-12-05,2011-12-05,2012-03-23,BP APPROVED,"('2011-12-05', '2012-03-23')",,"('BP FILED', 'BP APPROVED')",1,2012,Building Permit Approved,2.0,1.0,-122.38588999999999,37.729395000000004,RH-2,RH-2
2063,,1396 REVERE AV,4761036,2016-06-23,BP FILED,,,201606230730,2016-06-23,2016-06-23,2016-06-23,2016-06-23,BP FILED,"('2016-06-23', '2016-06-23', '2016-06-23', '2016-06-23', '2016-06-23')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,3.0,1.0,,,,
1799,2017-08-22,1380 REVERE AV,4761039,2017-08-22,BP APPROVED,,,201511233357,2015-11-23,2015-11-23,2015-11-23,2017-08-22,BP APPROVED,"('2015-11-23', '2015-11-23', '2015-11-23', '2015-11-23', '2015-11-23', '2015-11-23', '2017-08-22')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED')",2,2017,Building Permit Approved,2.0,2.0,,,,
13278,2008-02-27,1171 REVERE AV,4786043,2008-02-27,BP ISSUED,,,200606073397,2006-06-07,2008-02-27,2006-06-07,2008-02-27,BP ISSUED,"('2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27', '2008-02-27')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",3,2013,Building Permit Approved,0.0,0.0,-122.382449,37.727212,PDR-2,PDR-2
6470,,1290 SHAFTER AV,4787012A,2015-11-20,BP FILED,,,201511203280,2015-11-20,2015-11-20,2015-11-20,2015-11-20,BP FILED,"('2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2017,Proposed,2.0,1.0,-122.384762883,37.72791956,RH-1,RH-1
3871,2013-05-23,1379 REVERE AV,4788017,2013-08-22,CONSTRUCTION,01/01/2014,2013-08-22,201212136160,2012-12-13,2012-12-13,2012-12-13,2013-08-22,CONSTRUCTION,"('2012-12-13', '2012-12-13', '2013-05-23', '2013-08-22', '2013-08-22')",384.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",4,2013,Under Construction,2.0,1.0,-122.386192,37.729110999999996,RH-2,RH-2
2070,,1351 REVERE AV,4788020A,2015-12-15,BP FILED,,,201512155196,2015-12-15,2015-12-15,2015-12-15,2015-12-15,BP FILED,"('2015-12-15', '2015-12-15', '2015-12-15', '2015-12-15', '2015-12-15', '2015-12-15', '2015-12-15')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,3.0,1.0,,,,
1930,2017-06-30,1465 REVERE AV,4789014,2017-06-30,BP ISSUED,,,201512114902,2015-12-11,2015-12-11,2015-12-11,2017-06-30,BP ISSUED,"('2015-12-11', '2015-12-11', '2015-12-11', '2015-12-11', '2015-12-11', '2015-12-11', '2017-06-30')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED')",2,2017,Building Permit Approved,2.0,1.0,,,,
1973,,1824 JENNINGS ST,4790005,2015-11-09,BP FILED,,,201511092165,2015-11-09,2015-11-09,2015-11-09,2015-11-09,BP FILED,"('2015-11-09', '2015-11-09', '2015-11-09', '2015-11-09', '2015-11-09', '2015-11-09', '2015-11-09')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,1.0,,,,
1596,,1395 SHAFTER AV,4791025,2015-11-20,BP FILED,,,201511203191,2015-11-20,2015-11-20,2015-11-20,2015-11-20,BP FILED,"('2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20', '2015-11-20')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,1.0,,,,
15659,,1212 THOMAS AV,4792029,2008-07-23,BP FILED,,,200807237371,2008-07-23,2008-07-23,2008-07-23,2008-07-23,BP FILED,"('2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23', '2008-07-23')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,0.0,0.0,-122.38414399999999,37.726664784099995,PDR-1-B,PDR-1-B
2314,2016-09-19,1350 VAN DYKE AV,4811011,2016-11-07,BP ISSUED,,,201407030434,2014-07-03,2014-07-03,2014-07-03,2016-11-07,BP ISSUED,"('2014-07-03', '2014-07-03', '2014-07-03', '2016-09-19', '2016-11-07', '2016-11-07', '2016-11-07')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,0.0,0.0,,,,
6333,,1350 VAN DYKE AVENUE,4811011,2014-07-03,BP FILED,,,201407030434,2014-07-03,2014-07-03,2014-07-03,2014-07-03,BP FILED,"('2014-07-03',)",,"('BP FILED',)",3,2015,Proposed,0.0,0.0,-122.387417301,37.7266314379,PDR-2,PDR-2
2279,2014-02-28,1560 WALLACE AV,4829007,2014-02-28,BP APPROVED,,,201112080359,2011-12-08,2011-12-08,2011-12-08,2014-02-28,BP APPROVED,"('2011-12-08', '2011-12-08', '2011-12-08', '2011-12-08', '2011-12-08', '2011-12-08', '2011-12-08', '2011-12-08', '2011-12-08', '2014-02-28', '2014-02-28', '2014-02-28', '2014-02-28', '2014-02-28', '2014-02-28', '2014-02-28', '2014-02-28', '2014-02-28', '2014-02-28', '2014-02-28', '2014-02-28', '2014-02-28', '2014-02-28')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED')",2,2017,Building Permit Approved,0.0,0.0,,,PDR-1-B,PDR-1-B
13280,2008-11-04,2105 KEITH ST,4829010,2008-11-04,BP APPROVED,,,200710044644,2006-01-11 00:00:00,2008-11-04,2006-01-11 00:00:00,2008-11-04,BP APPROVED,"('2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04', '2008-11-04')",,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED')",3,2013,Building Permit Approved,8.0,8.0,-122.390551,37.727957,RH-2,RH-2
25652,,1485 VAN DYKE AV,4829011,2005-07-21,BP FILED,,,200507218243,2005-07-21,2005-07-21,2005-07-21,2005-07-21,BP FILED,"('2005-07-21', '2005-07-21', '2005-07-21')",,"('BP FILED', 'BP FILED', 'BP FILED')",1,2010,Proposed,2.0,1.0,-122.390244,37.727748999999996,M-1,M-1
2488,2017-07-06,1413 VAN DYKE AV,4829020A,2017-07-06,BP ISSUED,,,201606230703,2016-06-23,2016-06-23,2016-06-23,2017-07-06,BP ISSUED,"('2016-06-23', '2016-06-23', '2016-06-23', '2016-06-23', '2017-07-06')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED')",2,2017,Building Permit Approved,0.0,0.0,,,,
480,,1579 WALLACE AV,4830015,2015-02-26,BP FILED,,,201502269479,2015-02-26,2015-02-26,,2015-02-26,BP FILED,"('2015-02-26',)",,"('BP FILED',)",1,2015,Proposed,0.0,0.0,-122.390560184,37.7266936294,PDR-2,PDR-2
13281,2008-05-23,1351 YOSEMITE AV,4846018,2008-05-23,BP ISSUED,,,200405285091,2004-05-28,2008-05-23,2004-05-28,2008-05-23,BP ISSUED,"('2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23', '2008-05-23')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",3,2013,Building Permit Approved,0.0,0.0,-122.387592,37.724346999999995,PDR-2,PDR-2
2457,,1313 ARMSTRONG AV,4851017,2012-11-27,BP FILED,,,201211274877,2012-11-27,2012-11-27,2012-11-27,2012-11-27,BP FILED,"('2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27', '2012-11-27')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,0.0,0.0,,,PDR-2,PDR-2
20052,2015-11-09,2500 ARELIOUS WALKER DR,4884025,2016-09-16,CONSTRUCTION,10/01/2016,2016-06-24,201501236565,2015-01-23,2015-11-09,2015-01-23,2016-09-16,CONSTRUCTION,"('2015-11-09', '2016-06-24', '2016-09-16')",617.0,"('BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",3,2016,Under Construction,122.0,122.0,-122.38493438299999,37.719382641100005,P,P
20074,2014-08-21,2600 ARELIOUS WALKER DR,4884025,2016-09-16,CONSTRUCTION,10/01/2016,2015-06-01,201401166470,2014-01-16,2014-01-16,2014-01-16,2016-09-16,CONSTRUCTION,"('2014-01-16', '2014-01-16', '2014-08-21', '2014-10-02', '2015-06-01', '2015-07-29', '2015-10-09', '2015-12-31', '2016-03-29', '2016-06-24', '2016-09-16')",989.0,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2016,Under Construction,93.0,93.0,-122.38493438299999,37.719382641100005,P,P
1040,,CANDLESTICK POINT,4884025,2014-04-10,PL APPROVED,,,,2014-04-10,2014-04-10,,2014-04-10,PL APPROVED,"('2014-04-10', '2014-04-10')",,"('PL APPROVED', 'PL APPROVED')",2,2017,Proposed,9835.0,9579.0,,,P,P
29864,,CANDLESTICK POINT (REMAINING),4884025,2014-04-10,PL APPROVED,,,,2007-08-24,2014-04-10,2007-08-24,2014-04-10,PL APPROVED,"('2014-04-10',)",,"('PL APPROVED',)",4,2016,Proposed,9835.0,9579.0,-122.38493438299999,37.719382641100005,P,P
1175,,HOPE SF ALICE GRIFFITH,4884025,2017-09-28,CONSTRUCTION,07/01/2017,2017-01-30,201501236565,2017-01-30,2017-01-30,,2017-09-28,CONSTRUCTION,"('2017-01-30', '2017-01-30', '2017-03-27', '2017-09-28')",152.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,122.0,122.0,,,,
10953,,HUNTERS POINT SHIPYARD PHASE II,4884025,2015-10-27,PL APPROVED,,,,2007-08-24,2014-04-10,2007-08-24,2015-10-27,PL APPROVED,"('2014-04-10', '2014-04-10', '2014-04-10', '2015-10-27')",,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",4,2015,Proposed,10172.0,9916.0,-122.38493438200001,37.7193826402,P,P
20123,,2800 ARELIOUS WALKER DR,4884026,2016-08-29,BP FILED,,,201608296272,2016-08-29,2016-08-29,2016-08-29,2016-08-29,BP FILED,"('2016-08-29',)",,"('BP FILED',)",3,2016,Proposed,31.0,31.0,-122.38600417299999,37.7189864949,RM-1,RM-1
1261,2017-03-13,HOPE SF ALICE GRIFFITH,4884026,2017-08-30,CONSTRUCTION,2017-08-30,2017-08-30,201608296272,2017-03-13,2017-03-13,,2017-08-30,CONSTRUCTION,"('2017-03-13', '2017-08-30')",170.0,"('BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,31.0,31.0,,,,
20102,,2700 ARELIOUS WALKER DR,4884027,2016-09-27,CONSTRUCTION,10/01/2016,2016-03-31,201401166475,2014-01-16,2016-03-31,2014-01-16,2016-09-27,CONSTRUCTION,"('2016-03-31', '2016-06-28', '2016-09-27')",989.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2016,Under Construction,91.0,91.0,-122.38586709,37.7182830953,RM-1,RM-1
5213,,HUNTERS POINT EXPY,4886008,2010-08-03,PL APPROVED,,,,2007-08-24,2007-12-03,2007-08-24,2010-08-03,PL APPROVED,"('2007-12-03', '2007-12-03', '2007-12-03', '2007-12-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03', '2010-08-03')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",3,2015,Proposed,10500.0,10237.0,-122.380302389,37.7146878859,P,P
1546,,1212 EGBERT AV,4909003,2013-12-31,BP FILED,,,201312315375,2013-12-31,2013-12-31,2013-12-31,2013-12-31,BP FILED,"('2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31', '2013-12-31')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,2.0,,,RH-1,RH-1
2327,2016-11-29,1300 FITZGERALD AV / 1401 EGBERT AV,4912001,2016-11-29,BP ISSUED,,,201409166483,2016-11-29,2016-11-29,,2016-11-29,BP ISSUED,"('2016-11-29', '2016-11-29', '2016-11-29', '2016-11-29')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,0.0,0.0,,,PDR-2,PDR-2
28650,2016-06-29,1300 FITZGERALD AVE / 1401 EGBERT AVE (BLDG 1 OF 2),4912001,2016-11-29,BP ISSUED,,,201409166483,2014-06-20,2016-06-29,2014-06-20,2016-11-29,BP ISSUED,"('2016-06-29', '2016-06-29', '2016-11-29')",,"('BP APPROVED', 'BP APPROVED', 'BP ISSUED')",4,2016,Building Permit Approved,0.0,0.0,-122.3929855,37.7225688324,PDR-2,PDR-2
28651,2016-07-29,1300 FITZGERALD AVE / 1401 EGBERT AVE (BLDG 2 OF 2),4912001,2016-11-29,BP ISSUED,,,201409166491,2014-06-20,2014-09-16,2014-06-20,2016-11-29,BP ISSUED,"('2014-09-16', '2016-07-29', '2016-11-29')",,"('BP FILED', 'BP APPROVED', 'BP ISSUED')",4,2016,Building Permit Approved,0.0,0.0,-122.3929855,37.7225688324,PDR-2,PDR-2
16204,2007-10-30,2824 JENNINGS ST,4912001,2015-09-03,PL APPROVED,,,200701111550,2007-01-11,2007-10-30,2007-01-11,2015-09-03,PL APPROVED,"('2007-10-30', '2007-10-30', '2007-10-30', '2007-10-30', '2007-10-30', '2007-10-30', '2007-10-30', '2007-10-30', '2007-10-30', '2014-08-14', '2014-08-14', '2015-09-03')",,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'PL FILED', 'PL FILED', 'PL APPROVED')",1,2016,Proposed,0.0,0.0,-122.39298600000001,37.7225688315,PDR-2,PDR-2
